date,nav_base_e16_e18_e22_v2s,nav_const_a05,nav_const_a25,nav_const_a100_full,nav_gate_09_a25,nav_gate_09_a50,nav_gate_09_a100,nav_gate_085_a25,nav_gate_085_a50,nav_gate_085_a100,nav_gate_08_a25,nav_gate_08_a50,nav_gate_08_a100,nav_e1bin_a25,nav_e1bin_a50,nav_e1bin_a100
2024-01-30,8067380.470255993,8209363.9933660505,8165435.801036526,7721705.579707401,8071167.062729248,7961064.111637123,7689867.23765922,8034969.244065715,7896173.222791392,7622162.056663137,7993140.539530627,7867816.527972072,7632276.324006154,8038437.831076157,8002068.894331233,7963053.499040345
2024-01-31,8063493.620255994,8194921.893366051,8151045.901036527,7713133.2297074,8061268.062729248,7951421.461637123,7682369.43765922,8026132.044065715,7887765.222791393,7614958.006663137,7985565.789530628,7860165.227972073,7625494.774006154,8034139.581076157,7997036.044331233,7955683.399040344
2024-02-01,8134820.320255994,8262569.993366051,8216903.001036527,7781151.129707401,8129915.512729248,8019206.461637123,7748506.837659219,8094928.444065714,7955492.722791393,7680630.306663137,8054549.939530628,7927981.627972073,7691436.924006155,8105015.481076158,8067249.794331233,8024490.649040344
2024-02-02,8155137.520255993,8280861.2433660505,8233931.5510365255,7794086.0297074,8148931.962729247,8037994.811637122,7767041.98765922,8114102.344065715,7974358.572791392,7699124.156663137,8073873.239530627,7946937.377972073,7709978.724006154,8125164.831076156,8087139.6943312315,8043754.999040345
2024-02-05,8123397.370255994,8247709.593366052,8197130.551036526,7755812.329707401,8116641.562729248,8006141.211637123,7736198.7876592195,8082070.744065715,7942872.072791393,7668732.306663137,8042103.739530628,7915626.827972072,7679597.724006154,8093501.181076157,8055549.394331233,8012092.049040345
2024-02-15,8182099.770255993,8312231.943366052,8259515.751036526,7807701.879707401,8178205.512729247,8066808.361637122,7793340.887659219,8142882.494065714,8002499.972791392,7725420.356663137,8102021.039530627,7974695.477972073,7736240.574006153,8152195.381076157,8114333.444331232,8071700.349040344
2024-02-16,8181032.323899236,8313276.115473193,8263097.0098553775,7810973.979368472,8178455.241521013,8067057.462232312,7793411.158528498,8142923.456495359,8002439.006138373,7725408.6300951475,8101776.845443534,7974481.198274918,7735990.669177467,8151219.244608678,8113521.957479836,8071401.506412953
2024-02-19,8230623.423899235,8369556.165473194,8330005.159855377,7874365.829368471,8231369.291521013,8119193.162232312,7843942.658528498,8195037.206495358,8053503.006138372,7775047.130095147,8152952.495443533,8024962.5482749175,7785250.869177466,8200863.994608678,8163356.057479835,8122293.206412952
2024-02-20,8233439.473899236,8379522.765473194,8354428.959855378,7900975.729368472,8238239.391521012,8125898.612232313,7851233.358528499,8201182.506495358,8059362.956138373,7781563.080095148,8158248.445443534,8030314.598274918,7791143.769177468,8203956.244608679,8166943.407479837,8127461.606412954
2024-02-21,8209916.423899235,8351899.315473194,8322991.7598553775,7873655.479368472,8212561.641521013,8100602.362232313,7827051.458528499,8175947.806495358,8034726.356138373,7757660.580095148,8133605.345443534,8006029.0482749175,7767555.369177466,8180371.744608679,8143204.2074798355,8103017.606412953
2024-02-22,8205148.873899235,8356338.365473194,8336292.959855377,7880544.779368471,8213094.141521012,8101030.762232312,7827161.008528498,8175569.856495358,8034123.806138373,7757189.1300951475,8132161.545443534,8004789.698274918,7766495.619177467,8175997.644608677,8139515.757479836,8101437.806412953
2024-02-23,8216283.523899236,8359210.215473194,8327097.359855377,7871592.329368471,8219440.491521012,8107379.312232312,7833426.408528498,8182715.156495358,8041345.006138373,7763981.930095147,8140230.845443534,8012561.5482749175,7773833.119177466,8186753.044608678,8149618.857479836,8109597.306412953
