date,nav_base,nav_fincap50,rel_fincap50_vs_base
2020-08-07,30349915.976891514,30612587.766340237,1.0086547781433306
2020-08-10,30303398.089437466,30729673.834077362,1.0140669288434843
2020-08-11,30140799.99512976,30568429.219204977,1.0141877197733409
2020-08-12,30077185.29707095,30382050.84929621,1.0101361064612302
2020-08-13,30401266.103691388,30603490.465680227,1.0066518401338649
2020-08-14,30193364.44136906,30490824.011714358,1.0098518192937034
2020-08-17,30223962.756640006,30630992.48489253,1.0134671198323622
2020-08-18,30278186.216976404,30620832.38304771,1.0113166014508224
2020-08-19,30156291.275172107,30482149.502767667,1.01080564664342
2020-08-20,29609467.545359515,29794096.521167524,1.0062354709866084
2020-08-21,29881827.544509657,30210191.43200267,1.010988748496186
2020-08-24,29707172.90591575,30104829.798683815,1.0133858881162292
2020-08-25,29750631.753999177,30204399.411801428,1.015252370489284
2020-08-26,29822487.726415746,30266189.4066245,1.014878090797762
2020-08-27,29723387.432276297,30209374.017416008,1.016350309541502
2020-08-28,29720181.821432713,30139562.77563175,1.0141109821170946
2020-08-31,29268717.119782448,29773694.053654514,1.0172531283761241
2020-09-01,29289952.364797138,29915148.18089575,1.0213450608697479
2020-09-02,29186987.61803291,29786953.076724827,1.0205559226098837
2020-09-03,29201634.941865336,29818586.822260603,1.0211273061122603
2020-09-04,28938261.497971106,29581763.84345324,1.0222370768723357
2020-09-07,29144841.66834792,29669599.31379883,1.0180051637069214
2020-09-08,29257598.68896996,29809744.288575914,1.0188718700217223
2020-09-09,29109294.3445155,29664377.6644083,1.019068937684413
2020-09-10,29195251.37335862,29807640.931570735,1.0209756562935757
2020-09-11,29223067.8048519,29822817.562563486,1.0205231621031934
2020-09-14,29269427.20750206,29953830.926393803,1.0233828873397401
2020-09-15,29321427.199280974,30025580.15780596,1.0240149619504966
2020-09-16,29403161.070148226,30247019.684609544,1.0286995881989727
2020-09-17,29185663.811008815,30000971.318453122,1.0279352051995052
2020-09-18,29284410.364322394,30045595.973697167,1.0259928610446647
2020-09-21,29009396.323078327,29788920.97654799,1.0268714538140704
2020-09-22,28738455.439810127,29457519.719757665,1.025020978648402
2020-09-23,28546212.18273488,29296718.366299454,1.0262909200968697
2020-09-24,27937110.631689254,28690627.705258075,1.0269719042710916
2020-09-25,28271371.988544665,28911935.67935518,1.022657679686365
2020-09-28,28666156.43946973,29401855.215987902,1.0256643675991808
2020-09-29,28622130.605326284,29421665.22116483,1.0279341404336182
2020-09-30,28554180.302965753,29368149.063368496,1.0285061154537223
2020-10-05,28641327.920937624,29442598.198112763,1.0279760170124441
2020-10-06,28876256.72538809,29740019.836608548,1.0299125720980669
2020-10-07,28772068.820648,29702000.992078777,1.0323206571354862
2020-10-08,28858202.38093363,29902773.592498183,1.0361966832783283
2020-10-12,28926280.899465736,30008680.610373322,1.0374192491136176
2020-10-13,28700346.37641337,29924198.12732952,1.0426424035049953
2020-10-14,28656453.102895956,29835095.236695617,1.0411300773884173
2020-10-15,28492478.642899953,29589569.842310198,1.0385045896905016
2020-10-16,28367340.738159858,29482800.99778043,1.0393219889702263
2020-10-19,28455052.816977594,29667880.61607497,1.0426225811949206
2020-10-20,28399528.65934212,29556021.379485887,1.040722250499863
2020-10-21,28324014.9122375,29527611.771545205,1.0424938647658912
2020-10-22,28517071.92463845,29651723.501531947,1.039788502125745
2020-10-23,28462140.738159858,29613450.99778043,1.040450585576544
2020-10-26,28589451.29479698,29718550.132524695,1.0394935469759505
2020-10-27,28510494.26595386,29627786.865362264,1.0391888190006804
2020-10-28,28469660.705668226,29540814.264942862,1.0376243879527995
2020-10-29,28190118.145892054,29247382.24991855,1.0375047773320725
2020-10-30,28121846.362063624,29087073.10999735,1.0343230218779595
2020-11-02,28498765.747421756,29441679.847487126,1.033086138130409
2020-11-03,28662375.444211368,29664679.935864564,1.0349693448682957
2020-11-04,28675375.452432454,29789219.116163407,1.038843211157902
