date,nav_base,nav_sleeve_fin_only_a10,rel_sleeve_vs_base
2020-05-11,28446205.983711384,28411297.13441301,0.9987728117655352
2020-05-12,28229653.73371138,28202736.28441301,0.9990464831927348
2020-05-13,28285453.383711383,28256506.28441301,0.9989766082620036
2020-05-14,28121093.083711382,28100087.83441301,0.9992530429298804
2020-05-15,28103274.633711383,28089844.13441301,0.9995221019801636
2020-05-18,28097874.633711383,28075244.13441301,0.9991945832347326
2020-05-19,28416575.133711383,28383150.83441301,0.9988237745350699
2020-05-20,28514397.53371138,28474473.63441301,0.998599868741706
2020-05-21,28574958.633711383,28541969.73441301,0.9988455311616985
2020-05-22,28185546.383711386,28156838.684413012,0.9989814744441157
2020-05-25,28265075.833711382,28232510.83441301,0.9988478715043979
2020-05-26,28496885.133711383,28454971.03441301,0.9985291690968432
2020-05-27,28514563.933711383,28472014.934413012,0.9985078151853458
2020-05-28,28479437.433711383,28426213.63441301,0.9981311499069371
2020-05-29,28507774.733711384,28467512.78441301,0.9985876853007835
2020-06-01,28660284.433711383,28592338.88441301,0.9976292786118183
2020-06-02,28897252.702479884,28820073.317954633,0.9973291791673113
2020-06-03,29326283.781240758,29240430.22194776,0.9970724705546252
2020-06-04,29336177.32704451,29251983.626038384,0.9971300384481754
2020-06-05,29316036.24578001,29240261.58487501,0.9974152487645424
2020-06-08,29547213.44239226,29471463.11816801,0.997436295494601
2020-06-09,29538958.095709264,29454066.78849401,0.9971261238483701
2020-06-10,29673859.49293326,29611784.65454951,0.9979080969093848
2020-06-11,29269780.59802926,29211340.19927576,0.9980033878778909
2020-06-12,29007491.669589013,28959558.04927576,0.9983475434257039
2020-06-15,28784608.81958901,28731967.39927576,0.9981711955634629
2020-06-16,29170664.119589012,29108216.749275763,0.9978592407064427
2020-06-17,29305182.119589012,29224562.799275763,0.9972489739192114
2020-06-18,29121215.11958901,29054424.99927576,0.997706478935066
2020-06-19,28968231.619589012,28897356.09927576,0.997553336315313
2020-06-22,29050553.36958901,28972950.64927576,0.9973287007883821
2020-06-23,29073122.16958901,28996024.34927576,0.9973481410127361
2020-06-24,29139283.91958901,29064098.699275758,0.9974197986292069
2020-06-29,29051768.76958901,28965405.84927576,0.9970272749656588
2020-06-30,29229995.76122276,29135545.84927576,0.9967687332999103
2020-07-01,29368274.941047136,29289938.086899385,0.9973326028067702
2020-07-02,29574131.64104714,29503651.436899386,0.9976168292951693
2020-07-03,29614069.541047134,29557647.086899385,0.9980947416203794
2020-07-06,30027677.391047135,29953001.386899386,0.9975130942305244
2020-07-07,29920217.091047138,29864082.936899386,0.9981238720970194
2020-07-08,29972928.841047138,29914957.286899388,0.9980658695566528
2020-07-09,29875168.541047137,29846938.836899385,0.9990550779953269
2020-07-10,29773542.391047135,29741017.536899384,0.9989075920587289
2020-07-13,29750112.291047134,29736967.136899386,0.9995581477468337
2020-07-14,29791351.36185826,29777896.686899386,0.9995483697669352
2020-07-15,29899172.761858262,29876411.236899387,0.9992387239225591
2020-07-16,29724616.511858262,29709439.536899388,0.9994894139356577
2020-07-17,29805892.66185826,29781710.83689939,0.999188689792545
