date,nav_base_e16_e18_e22_v2s,nav_blend_e45_a05,nav_blend_e45_a10,nav_blend_e45_a15,nav_blend_e45_a20,nav_blend_e45_a25,nav_blend_e45_a30,nav_blend_e45_a35,nav_blend_e45_a40,nav_blend_e45_a45,nav_blend_e45_a50,nav_blend_e45_a55,nav_blend_e45_a60,nav_blend_e45_a65,nav_blend_e45_a70,nav_blend_e45_a75,nav_blend_e45_a80,nav_blend_e45_a85,nav_blend_e45_a90,nav_blend_e45_a95,nav_chal_e45_e3
2023-02-07,7753503.219298886,7718184.97408093,7646147.815781184,7608748.141827474,7571775.98919989,7554310.995415252,7550127.8758477,7571979.266126973,7582846.038678871,7590131.330400479,7578460.765386943,7561795.369644415,7538425.074996087,7505353.181188566,7462339.055561093,7454193.795059506,7396489.914328374,7351971.423190531,7307077.954629712,7266622.805431127,7217648.3980602855
2023-02-08,7760623.069298886,7722699.574080931,7650943.965781184,7614509.341827475,7578944.48919989,7561724.695415252,7557614.6258477,7579392.066126973,7590137.688678871,7597362.780400479,7585629.365386943,7568877.719644415,7545638.6249960875,7512492.281188565,7469366.555561093,7460926.995059506,7403118.464328374,7358520.173190531,7313553.854629712,7273023.355431126,7224181.8980602855
2023-02-09,7750751.89596095,7713863.378808064,7643037.6913600955,7608720.934445784,7575520.905112759,7559535.546850221,7556119.65155168,7578538.480877344,7589884.881469568,7597528.6979805,7586099.079009783,7569536.34763646,7546426.429740977,7513378.05903971,7470306.34948348,7461924.587304517,7404152.611497009,7359557.292154464,7314601.633797395,7274072.874328896,7225218.332282243
2023-02-10,7793355.846719524,7762258.305983612,7691737.512644979,7656434.20629973,7622121.926698123,7605910.553649928,7602433.954183626,7624911.129721194,7636148.395268734,7643592.222439809,7631689.426073158,7614684.902094551,7591110.892596633,7557571.847704882,7514012.371917035,7505364.836228501,7447034.7656698795,7401977.370433458,7356542.765279884,7315572.94288438,7266255.317611706
2023-02-13,7824216.68823375,7807832.532325534,7742674.36264498,7712249.35629973,7680685.926698123,7666464.603649929,7663756.704183625,7686252.429721193,7696093.982568965,7703014.380600826,7690622.636917591,7673035.6924517425,7648727.214206675,7614552.71201181,7570238.976549393,7561170.421705694,7502068.422864376,7456399.452732723,7410326.43508818,7368788.279979128,7318806.089035831
2023-02-14,7888734.528985547,7867829.311023476,7799433.0402721185,7765113.058391251,7729437.519990044,7712808.402390904,7708470.8623994365,7727671.91146885,7733882.38159077,7738522.4145084545,7724312.110379361,7705128.1226168815,7679300.268208729,7644123.199668962,7598972.504842975,7589306.932486045,7529584.0568078635,7483476.52136943,7436950.219519418,7394981.904439242,7344554.618123078
2023-02-15,7806660.95706115,7790311.521354516,7723577.884024545,7688957.529476866,7653210.621498959,7636665.398653262,7632490.034762048,7652392.652879133,7659468.79379978,7664723.427395968,7651222.724259252,7632806.513807961,7607823.855190734,7573415.045252033,7529126.609788783,7519974.888213883,7461157.063733765,7415812.786058838,7370040.137552177,7328792.3192512095,7279168.7677792385
2023-02-16,7835412.957061151,7817001.821354517,7748407.989714699,7714054.855014006,7679115.703866716,7662793.795085459,7658766.37744997,7677982.028218399,7683914.008981428,7688553.326749279,7674476.547543804,7655446.651172444,7629838.614556934,7594994.753612436,7550305.564912643,7540887.887178081,7481737.479285549,7436121.0727935685,7390078.776611926,7348569.0910166465,7298664.376551564
2023-02-17,7837934.486529848,7820920.830180071,7754460.555701453,7719823.673764523,7682540.072339643,7664931.081204918,7659853.789559709,7678513.210682369,7684050.3410798395,7688470.455290669,7674294.371420545,7655269.660117975,7629643.851614107,7594808.160634971,7550070.731245781,7540611.494412188,7481431.986282073,7435811.907483529,7389762.521189221,7348264.409629313,7298338.10242462
2023-02-20,7889216.898350488,7878145.161858603,7812431.108627089,7776561.167684764,7739249.583975927,7721760.639738706,7716646.084610727,7734659.243416234,7739777.873598391,7743801.110814431,7729150.514495094,7709628.562886018,7683487.807014415,7648083.074035426,7602782.41321649,7593032.094138264,7533186.205012124,7487028.4254034925,7440418.857018136,7398401.468352008,7347928.921392566
2023-02-21,7845488.180434078,7831349.9703078205,7764375.219508095,7728836.747833712,7694461.4587266985,7678576.020955108,7674742.005043815,7693859.237902955,7700023.396052111,7704787.610494953,7690697.23412496,7671611.96700676,7645940.465967237,7610973.726799561,7566166.947835897,7556705.676304542,7497383.637087555,7451612.494286029,7405411.469397346,7363762.662901127,7313710.325665393
2023-02-22,7866150.384127659,7852020.918386921,7785981.047242899,7755445.945967314,7724571.497582645,7710451.692585662,7707513.800059286,7725176.447740135,7727246.163916686,7730043.185423123,7714372.264013104,7693637.786232929,7666258.843383284,7630330.113431157,7584673.854728506,7574591.785135254,7514764.870159128,7468629.2877746355,7422065.025395295,7380058.9566695765,7329610.412813592
