code,cash_ex_date,cash_payment_date,cash_dividend,stock_ex_date,stock_payment_date,source,source_url
4904,2002-08-07,2002-09-06,1.0,2002-08-07,2002-10-14,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/4904.TW/dividend
4904,,,,2001-07-03,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/4904.TW/dividend
4904,2000-06-12,2000-07-13,0.2195,2000-06-12,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/4904.TW/dividend
2884,2026-07-01,2026-07-27,1.4,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2884.TW/dividend
2884,2025-07-22,2025-08-27,1.2,2025-07-22,2025-08-27,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2884.TW/dividend
2884,2024-07-25,2024-08-29,1.2,2024-07-25,2024-08-29,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2884.TW/dividend
2884,2023-07-27,2023-08-30,0.1894,2023-07-27,2023-08-30,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2884.TW/dividend
2884,2022-07-28,2022-08-31,0.67,2022-07-28,2022-08-31,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2884.TW/dividend
2884,2021-08-31,2021-09-24,0.61,2021-08-31,2021-09-30,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2884.TW/dividend
2884,2020-07-28,2020-08-26,0.7911,2020-07-28,2020-08-26,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2884.TW/dividend
2884,2019-07-25,2019-08-27,0.71,2019-07-25,2019-08-27,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2884.TW/dividend
2884,2018-07-26,2018-08-27,0.6126,2018-07-26,2018-08-27,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2884.TW/dividend
2884,2017-08-09,2017-09-11,0.4908,2017-08-09,2017-09-11,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2884.TW/dividend
2884,2016-07-28,2016-08-29,0.43,2016-07-28,2016-08-29,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2884.TW/dividend
2884,2015-07-30,2015-08-31,0.4347,2015-07-30,2015-08-31,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2884.TW/dividend
2884,2014-08-21,2014-09-19,0.2764,2014-08-21,2014-09-19,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2884.TW/dividend
2884,2013-08-15,2013-09-18,0.3,2013-08-15,2013-09-18,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2884.TW/dividend
2884,2012-08-16,2012-09-21,0.2,2012-08-16,2012-09-21,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2884.TW/dividend
2884,2011-08-25,2011-09-29,0.2,2011-08-25,2011-09-29,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2884.TW/dividend
2884,2010-08-19,2010-09-21,0.1989,2010-08-19,2010-09-21,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2884.TW/dividend
2884,,,,2009-08-13,2009-09-18,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2884.TW/dividend
2884,2008-08-07,2008-09-12,0.4,2008-08-07,2008-09-12,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2884.TW/dividend
2884,,,,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2884.TW/dividend
2884,2006-08-03,2006-09-08,1.0,2006-08-03,2006-09-08,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2884.TW/dividend
2884,2005-08-09,2005-09-09,1.1,2005-08-09,2005-09-30,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2884.TW/dividend
2884,2004-08-26,2004-09-27,1.0856,2004-08-26,2004-10-27,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2884.TW/dividend
2884,,,,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2884.TW/dividend
2884,,,,2002-09-10,2002-11-18,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2884.TW/dividend
2885,2026-07-21,2026-08-14,1.8,2026-08-18,2026-09-24,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2885.TW/dividend
2885,2025-07-01,2025-07-23,1.55,2025-08-12,2025-09-12,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2885.TW/dividend
