book,kind,mode,cut,def_code,cost_multiple,window,cagr,max_drawdown,utility,vol,n_days,n_fills,fees_tax_sum,turnover_per_year,exact_t1_ok
M2_RELOC_TWD_SHORT_BASKET_C50,twd_basket,RELOC_TWD_720B,0.5,TWD_SHORT_BASKET,1,full,0.10680335635136418,-0.2329197946691124,-0.009656540983192019,0.11624806863789659,3351,13041,693310.8816543198,5.089682809428429,True
M2_RELOC_TWD_SHORT_BASKET_C50,twd_basket,RELOC_TWD_720B,0.5,TWD_SHORT_BASKET,2,heldout_2019_plus,0.12501218674472914,-0.23490822759093832,0.007558072949259975,0.1318268384137149,1856,13023,1258735.0359412087,5.0517195789001255,True
M2_RELOC_TWD_SHORT_BASKET_C50,twd_basket,RELOC_TWD_720B,0.5,TWD_SHORT_BASKET,2,sealed_2023_plus,0.17008056769701252,-0.1279518571320014,0.10610463913101181,0.1425353587118917,879,13023,1258735.0359412087,5.0517195789001255,True
M2_RELOC_TWD_SHORT_BASKET_C50,twd_basket,RELOC_TWD_720B,0.5,TWD_SHORT_BASKET,2,full,0.09365961344153328,-0.23490822759093843,-0.023794500353935932,0.11632550182466164,3351,13023,1258735.0359412087,5.0517195789001255,True
M2_RELOC_TWD_SHORT_BASKET_C75,twd_basket,RELOC_TWD_720B,0.75,TWD_SHORT_BASKET,1,heldout_2019_plus,0.11490888655544085,-0.22739015932999218,0.0012138068904447574,0.12150081526878097,1856,14960,834369.4553162461,6.8314071174714694,True
M2_RELOC_TWD_SHORT_BASKET_C75,twd_basket,RELOC_TWD_720B,0.75,TWD_SHORT_BASKET,1,sealed_2023_plus,0.15584953506521937,-0.1084938292293447,0.10160262045054702,0.12955517447938178,879,14960,834369.4553162461,6.8314071174714694,True
M2_RELOC_TWD_SHORT_BASKET_C75,twd_basket,RELOC_TWD_720B,0.75,TWD_SHORT_BASKET,1,full,0.08931066518978725,-0.2273901593299923,-0.024384414475208893,0.10740727967706958,3351,14960,834369.4553162461,6.8314071174714694,True
M2_RELOC_TWD_SHORT_BASKET_C75,twd_basket,RELOC_TWD_720B,0.75,TWD_SHORT_BASKET,2,heldout_2019_plus,0.09742442386002903,-0.22929467760671263,-0.017222914943327283,0.12162324845791446,1856,14947,1474729.6242976491,6.772760612487387,True
M2_RELOC_TWD_SHORT_BASKET_C75,twd_basket,RELOC_TWD_720B,0.75,TWD_SHORT_BASKET,2,sealed_2023_plus,0.13395627859700254,-0.1140535740040195,0.0769294915949928,0.1296813256739749,879,14947,1474729.6242976491,6.772760612487387,True
M2_RELOC_TWD_SHORT_BASKET_C75,twd_basket,RELOC_TWD_720B,0.75,TWD_SHORT_BASKET,2,full,0.07222608139478148,-0.22929467760671263,-0.04242125740857483,0.10750006768476175,3351,14947,1474729.6242976491,6.772760612487387,True
