book,kind,cut,sleeves,cost_multiple,window,mdd_improve_pp,cagr_giveback_pp,score,covid_ex_mdd_improve_pp,covid_ex_cagr_giveback_pp,covid_ex_score,help_2015_pp,help_2018_pp,help_2020_pp,help_2022_pp,years_helped,n_years_helped,turnover_per_year,fees_tax_sum
M1_EQW_C75,m1,0.75,,1,heldout_2019_plus,8.082082514917388,7.73420421666744,4.214980406583669,4.3904230821729895,9.094465164795773,-0.15680950022489704,3.3518665003118397,1.746521977151294,8.082082514917378,4.390423082172978,"2015,2018,2020,2022",4,4.754136492654337,713027.0026916375
M1_EQW_C75,m1,0.75,,1,sealed_2023_plus,7.05978549525449,12.938790952580481,0.590390018964249,4.3904230821729895,9.094465164795773,-0.15680950022489704,3.3518665003118397,1.746521977151294,8.082082514917378,4.390423082172978,"2015,2018,2020,2022",4,4.754136492654337,713027.0026916375
M1_EQW_C75,m1,0.75,,1,full,8.082082514917365,5.232165405244227,5.465999812295252,4.3904230821729895,9.094465164795773,-0.15680950022489704,3.3518665003118397,1.746521977151294,8.082082514917378,4.390423082172978,"2015,2018,2020,2022",4,4.754136492654337,713027.0026916375
M1_EQW_C50_FIN,m1_sleeve,0.5,Financial,1,heldout_2019_plus,4.990323279814501,5.442400581105078,2.2691229892619624,1.993016581822693,6.409388334587773,-1.2116775854711936,1.9297855095695593,1.276039205483459,4.990323279814501,1.993016581822693,"2015,2018,2020,2022",4,3.7546757898259053,625990.3377854326
M1_EQW_C50_FIN,m1_sleeve,0.5,Financial,1,sealed_2023_plus,5.901782739256545,9.803964827219925,0.9998003256465822,1.993016581822693,6.409388334587773,-1.2116775854711936,1.9297855095695593,1.276039205483459,4.990323279814501,1.993016581822693,"2015,2018,2020,2022",4,3.7546757898259053,625990.3377854326
M1_EQW_C50_FIN,m1_sleeve,0.5,Financial,1,full,4.99032327981449,3.31288816024109,3.333879199693945,1.993016581822693,6.409388334587773,-1.2116775854711936,1.9297855095695593,1.276039205483459,4.990323279814501,1.993016581822693,"2015,2018,2020,2022",4,3.7546757898259053,625990.3377854326
BASE_E16_E18_E22_v2s,ref,0.0,,2,heldout_2019_plus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,2.1781887970938945,746243.4866161725
BASE_E16_E18_E22_v2s,ref,0.0,,2,sealed_2023_plus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,2.1781887970938945,746243.4866161725
BASE_E16_E18_E22_v2s,ref,0.0,,2,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,2.1781887970938945,746243.4866161725
BLEND_E45_A05,ref_e45,,,2,heldout_2019_plus,0.7366110395178094,0.9660298204434037,0.25359612929610753,-1.539721128826732,1.140161902968373,-2.1098020803109185,-0.08542678342109422,-0.006858673375553792,0.7366110395178094,-1.5397211288267099,2020,1,2.225674480040662,763092.3348075293
