book,kind,mode,cut,cost_multiple,window,cagr,max_drawdown,utility,vol,n_days,n_fills,fees_tax_sum,turnover_per_year,mean_e45_exposure,exact_t1_ok
M2_HYBRID_719B_C50,m2_hybrid_719b,HYBRID_719B,0.5,2,heldout_2019_plus,0.10166519616004277,-0.1725770819739636,0.015376655173060971,0.10952845669007141,1856,17310,1224295.7903770434,4.368366257850538,0.9218041735158574,True
M2_HYBRID_719B_C50,m2_hybrid_719b,HYBRID_719B,0.5,2,sealed_2023_plus,0.1290030613517874,-0.08738409946938896,0.08531101161709292,0.1118867156591013,879,17310,1224295.7903770434,4.368366257850538,0.9218041735158574,True
M2_HYBRID_719B_C50,m2_hybrid_719b,HYBRID_719B,0.5,2,full,0.08385590317482894,-0.1725770819739636,-0.0024326378121528602,0.09982308271566609,3351,17310,1224295.7903770434,4.368366257850538,0.9218041735158574,True
M2_HYBRID_719B_C50,m2_hybrid_719b,HYBRID_719B,0.5,3,heldout_2019_plus,0.08912300804708773,-0.17470148611151315,0.0017722649913311517,0.10960073023316891,1856,17313,1683310.3667242248,4.356719496751007,0.9218041735158574,True
M2_HYBRID_719B_C50,m2_hybrid_719b,HYBRID_719B,0.5,3,sealed_2023_plus,0.11366352096304855,-0.09630082838989507,0.06551310676810101,0.11199481884014686,879,17313,1683310.3667242248,4.356719496751007,0.9218041735158574,True
M2_HYBRID_719B_C50,m2_hybrid_719b,HYBRID_719B,0.5,3,full,0.07152407384368531,-0.17470148611151304,-0.01582666921207121,0.09987234176865993,3351,17313,1683310.3667242248,4.356719496751007,0.9218041735158574,True
M2_HYBRID_719B_C75,m2_hybrid_719b,HYBRID_719B,0.75,0,heldout_2019_plus,0.11057878434804547,-0.14106124792426167,0.04004816038591463,0.09936794369862681,1856,19491,0.0,5.682173687402535,0.882706260273786,True
M2_HYBRID_719B_C75,m2_hybrid_719b,HYBRID_719B,0.75,0,sealed_2023_plus,0.14272297223736796,-0.06912325201722302,0.10816134622875645,0.10082870031668201,879,19491,0.0,5.682173687402535,0.882706260273786,True
M2_HYBRID_719B_C75,m2_hybrid_719b,HYBRID_719B,0.75,0,full,0.09668112073296475,-0.14106124792426156,0.026150496770833975,0.09085432561029895,3351,19491,0.0,5.682173687402535,0.882706260273786,True
M2_HYBRID_719B_C75,m2_hybrid_719b,HYBRID_719B,0.75,1,heldout_2019_plus,0.0943161006347093,-0.14386906883390427,0.022381566217757165,0.09941256025765396,1856,19481,782846.0705020829,5.668946315124705,0.882706260273786,True
