book,kind,mode,cut,cost_multiple,window,mdd_improve_pp,cagr_giveback_pp,score,covid_ex_mdd_improve_pp,covid_ex_cagr_giveback_pp,covid_ex_score,help_2015_pp,help_2018_pp,help_2020_pp,help_2022_pp,years_helped,n_years_helped,turnover_per_year,fees_tax_sum
M2_RELOC_BIL_FX_C50,m2_reloc_bil_fx,RELOC_BIL_FX,0.5,1,heldout_2019_plus,2.9585299388856345,3.431416298385259,1.242821789693005,5.226286501266553,4.046463097118069,3.203054952707518,3.306505819531047,1.2543984574134415,2.9585299388856234,5.226286501266541,"2015,2018,2020,2022",4,5.113906434835917,715563.4225736388
M2_RELOC_BIL_FX_C50,m2_reloc_bil_fx,RELOC_BIL_FX,0.5,1,sealed_2023_plus,2.652963145586207,4.755390094477008,0.27526809834770294,5.226286501266553,4.046463097118069,3.203054952707518,3.306505819531047,1.2543984574134415,2.9585299388856234,5.226286501266541,"2015,2018,2020,2022",4,5.113906434835917,715563.4225736388
M2_RELOC_BIL_FX_C50,m2_reloc_bil_fx,RELOC_BIL_FX,0.5,1,full,2.9585299388856234,2.460065535531619,1.7284971711198138,5.226286501266553,4.046463097118069,3.203054952707518,3.306505819531047,1.2543984574134415,2.9585299388856234,5.226286501266541,"2015,2018,2020,2022",4,5.113906434835917,715563.4225736388
M2_RELOC_BIL_FX_C75,m2_reloc_bil_fx,RELOC_BIL_FX,0.75,1,heldout_2019_plus,5.402907858331673,5.456497128112026,2.6746592942756604,6.620367042220354,6.425929417889198,3.4074023332757553,4.948495404510389,1.5414661780541183,5.4029078583316625,6.620367042220343,"2015,2018,2020,2022",4,6.880762314912125,871882.5371221844
M2_RELOC_BIL_FX_C75,m2_reloc_bil_fx,RELOC_BIL_FX,0.75,1,sealed_2023_plus,4.329957287285058,7.355515241187005,0.6521996666915557,6.620367042220354,6.425929417889198,3.4074023332757553,4.948495404510389,1.5414661780541183,5.4029078583316625,6.620367042220343,"2015,2018,2020,2022",4,6.880762314912125,871882.5371221844
M2_RELOC_BIL_FX_C75,m2_reloc_bil_fx,RELOC_BIL_FX,0.75,1,full,5.4029078583316625,3.9698020552506375,3.418006830706344,6.620367042220354,6.425929417889198,3.4074023332757553,4.948495404510389,1.5414661780541183,5.4029078583316625,6.620367042220343,"2015,2018,2020,2022",4,6.880762314912125,871882.5371221844
M2_HYBRID_719B_C50,m2_hybrid_719b,HYBRID_719B,0.5,1,heldout_2019_plus,5.499024765463911,6.7702076183124404,2.113920956307691,2.348351402043458,7.966069663627895,-1.6346834297704893,2.6545347401484953,1.3611334902502437,5.4990247654639335,2.348351402043447,"2015,2018,2020,2022",4,4.383601560905563,668914.7956871486
M2_HYBRID_719B_C50,m2_hybrid_719b,HYBRID_719B,0.5,1,sealed_2023_plus,6.106097936506294,10.431898695471364,0.8901485887706118,2.348351402043458,7.966069663627895,-1.6346834297704893,2.6545347401484953,1.3611334902502437,5.4990247654639335,2.348351402043447,"2015,2018,2020,2022",4,4.383601560905563,668914.7956871486
M2_HYBRID_719B_C50,m2_hybrid_719b,HYBRID_719B,0.5,1,full,5.499024765463911,4.164331217386574,3.416859156770624,2.348351402043458,7.966069663627895,-1.6346834297704893,2.6545347401484953,1.3611334902502437,5.4990247654639335,2.348351402043447,"2015,2018,2020,2022",4,4.383601560905563,668914.7956871486
M2_HYBRID_719B_C75,m2_hybrid_719b,HYBRID_719B,0.75,1,heldout_2019_plus,8.156437554435092,8.771912166001773,3.7704814714342056,3.7047694169625056,10.30746877221118,-1.4489649691430846,3.8699004599427322,1.7650587260044426,8.156437554435092,3.7047694169624945,"2015,2018,2020,2022",4,5.668946315124705,782846.0705020829
