id,mode,assist,heldout_score,mdd_improve_pp,cagr_giveback_pp,tip_ytd,tip_1y,tip_clean,coexist,vs_live_heldout_delta,n_fills,full_cagr,full_mdd
KD+BOTH__K9_LT20__D9_GT80,KD+BOTH,K9_LT20+D9_GT80,-1.1454767901183938,-0.180048336949723,1.9308569063373415,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-1.6861136476983174,4976,0.12680469322026622,-0.22566770621089416
KD+BOTH__MFI14_LT20__BB_UPPER,KD+BOTH,MFI14_LT20+BB_UPPER,-1.2516333992603546,0.3047663944298673,3.1127995873804437,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-1.7922702568402782,5936,0.12328625151471262,-0.22081955889709826
KD+BOTH__MFI14_LT20__BB_PCTB_GT1,KD+BOTH,MFI14_LT20+BB_PCTB_GT1,-1.2516333992603546,0.3047663944298673,3.1127995873804437,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-1.7922702568402782,5936,0.12328625151471262,-0.22081955889709826
KD+BOTH__K9_LT20__K9_GT70,KD+BOTH,K9_LT20+K9_GT70,-1.25696629659785,0.15540595770117127,2.8247445085980427,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-1.7976031541777737,5686,0.12398992275421983,-0.2223131632643851
KD+BOTH__D9_LT20__ROC10_GT5,KD+BOTH,D9_LT20+ROC10_GT5,-1.2712327362343734,0.37055025813985676,3.2835659887484603,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-1.811869593814297,5482,0.11896733819514393,-0.22016172025999814
KD+BOTH__MFI14_LT20__RSI14_GT70,KD+BOTH,MFI14_LT20+RSI14_GT70,-1.2875177040599262,0.19429450544765636,2.963624419015165,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-1.8281545616398498,5238,0.12338739346059646,-0.22192427778692025
KD+BOTH__K9_LT20__RSI14_GT70,KD+BOTH,K9_LT20+RSI14_GT70,-1.2910067329138575,-0.28183501314109627,2.0183434395455224,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-1.8316435904937811,4245,0.12622284694958208,-0.2266855729728079
KD+BOTH__MFI14_LT20__CCI20_GT100,KD+BOTH,MFI14_LT20+CCI20_GT100,-1.3566100457193864,0.295524501033817,3.3042690935064067,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-1.89724690329931,6223,0.12299873475824707,-0.22091197783105865
KD+BOTH__MFI14_LT20__MACD_HIST_POS,KD+BOTH,MFI14_LT20+MACD_HIST_POS,-1.4015630837778903,0.2287342937987713,3.260594755153323,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-1.942199941357814,6864,0.12397496489643323,-0.2215798799034091
KD+BOTH__MFI14_LT20__MFI14_GT80,KD+BOTH,MFI14_LT20+MFI14_GT80,-1.40323507257184,-0.14766434392072814,2.511141457302224,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-1.9438719301517637,5472,0.12541004948464218,-0.22534386628060432
