date,nav_base,nav_fin_pre_exdiv_kd,nav_fin_rs_soft_tilt_exdiv,nav_mix_l75
2013-10-28,557878800.5661273,557493581.7660403,560155372.0861341,558463702.529186
2013-10-29,555286227.8161273,555069219.2660403,556527941.8361341,555587008.029186
2013-10-30,559150468.5661273,558858314.2660403,560843544.0861341,559571266.029186
2013-10-31,560749977.0661273,560402616.7660403,562816341.5861341,561278063.529186
2013-11-01,556300745.3161273,556045611.7660403,557789014.3361341,556667000.529186
2013-11-04,551054604.0661273,550836126.7660403,552029712.5861341,551282721.529186
2013-11-05,548388990.8161273,548102976.7660403,549059520.8361341,548547262.529186
2013-11-06,548464212.0661273,548235289.2660403,548966560.5861341,548566848.029186
2013-11-07,545392686.5661273,545076366.7660403,545432254.0861341,545382848.529186
2013-11-08,546787520.172233,546506220.872146,546956708.6820164,546806510.6419894
2013-11-11,542448375.672233,542229655.872146,541786739.1820164,542248209.6419894
2013-11-12,545487265.672233,545259303.372146,546010501.1820164,545601753.1419894
2013-11-13,539278480.922233,539105580.872146,539489706.9320164,539307941.6419894
2013-11-14,539489780.922233,539316730.872146,539698306.9320164,539517891.6419894
2013-11-15,541179904.672233,541101623.372146,540765986.1820164,541035628.1419894
2013-11-18,541948105.172233,541848510.872146,541921463.6820164,541899275.6419894
2013-11-19,543147101.922233,543073180.872146,542805145.9320164,543018203.6419894
2013-11-20,541664796.922233,541533573.372146,542304638.9320164,541803075.1419894
2013-11-21,535724824.67223305,535522430.872146,535823450.1820163,535722497.6419893
2013-11-22,539954829.672233,539685838.372146,540251657.1820164,540009526.1419894
2013-11-25,547134032.922233,546861730.872146,547749250.9320164,547262798.6419894
2013-11-26,546950157.172233,546663350.872146,548185103.6820164,547256505.6419894
2013-11-27,548200271.422233,547931963.372146,549073858.4320164,548411826.1419894
2013-11-28,551635191.922233,551345173.372146,552687347.9320164,551889917.1419894
2013-11-29,553013491.922233,552681873.372146,554459447.9320164,553376517.1419894
2013-12-02,552245583.422233,551938220.872146,553610250.4320164,552581169.6419894
2013-12-03,549937910.172233,549667218.372146,551099270.6820164,550219504.1419894
2013-12-04,551741089.172233,551497380.872146,552468707.6820164,551901542.6419894
2013-12-05,549827777.672233,549539910.872146,551041793.1820164,550121846.6419894
2013-12-06,546775500.672233,546511738.372146,547411946.1820164,546918888.1419894
2013-12-09,553507856.672233,553204973.372146,554687130.1820164,553791685.1419894
2013-12-10,556153812.422233,555800583.372146,557780537.4320164,556561108.1419894
2013-12-11,558275479.922233,557842525.872146,560548359.9320164,558859100.6419894
2013-12-12,552204860.172233,551841118.372146,554252620.6820164,552730304.1419894
2013-12-13,555764789.172233,555355580.872146,558070807.6820164,556360042.6419894
2013-12-16,551978592.672233,551591525.872146,554367098.1820164,552599661.6419894
2013-12-17,550743462.922233,550374910.872146,552720560.9320164,551254178.6419894
2013-12-18,550907258.922233,550520025.872146,552351920.9320164,551268638.6419894
2013-12-19,552343606.672233,552072073.372146,553225280.1820164,552545085.1419894
2013-12-20,550548369.172233,550364610.872146,551153567.6820164,550680872.6419894
2013-12-23,551775565.0821134,551452589.3165108,553427819.6312337,552191652.4015934
2013-12-24,551446815.0821134,551134239.3165108,553000619.6312337,551835852.4015934
2013-12-25,553201888.3321134,552873141.8165108,554764049.3812337,553591767.9015934
2013-12-26,554203257.5821134,553991616.8165108,555788971.1312337,554595796.9015934
2013-12-27,556145275.5821134,555985549.3165108,557547043.1312337,556485660.4015934
2013-12-30,562257297.0821134,562183739.3165108,563652731.6312337,562589243.4015934
2013-12-31,560451737.8321134,560489189.3165108,562297893.8812337,560894531.4015934
2014-01-02,561035051.5821134,560990461.8165108,563054149.1312337,561530080.9015934
2014-01-03,555623535.8321134,555504581.8165108,557502817.8812337,556086620.9015934
2014-01-06,553718850.8321134,553666246.8165108,555192872.8812337,554073535.9015934
2014-01-07,552602288.5821134,552540774.3165108,553821158.1312337,552888795.4015934
2014-01-08,553479488.5821134,553386774.3165108,554994608.1312337,553847595.4015934
2014-01-09,553871005.3321134,553796214.3165108,554699530.3812337,554051093.4015934
2014-01-10,554109231.3321134,554023709.3165108,554777650.3812337,554248683.4015934
2014-01-13,556010414.8321134,555970294.3165108,556967304.8812337,556219059.4015934
2014-01-14,556607413.5821134,556481301.8165108,557555605.1312337,556816293.9015934
2014-01-15,557647165.8607166,557558344.0650952,558958487.1898556,557952759.1501778
2014-01-16,558075601.4848286,557976257.3924248,559489857.680811,558409125.3916765
2014-01-17,557292380.7348286,557177182.3924248,558665795.430811,557611387.3916765
2014-01-20,558544577.4848286,558434552.3924248,559799077.680811,558837965.3916765
2014-01-21,556187045.7348286,556107097.3924248,557453850.430811,556480502.3916765
2014-01-22,558668994.9848286,558541344.8924248,559981200.180811,558977457.8916765
2014-01-23,555968897.2348286,555787647.3924248,557248990.930811,556273711.3916765
2014-01-24,558318783.2348286,558251762.3924248,559139384.930811,558494088.3916765
2014-01-27,550155767.7348286,550062447.3924248,550593426.430811,550242275.3916765
2014-02-05,538660167.2348286,538516344.8924248,538937200.930811,538711153.8916765
2014-02-06,539467565.7348286,539404244.8924248,539930260.430811,539562444.8916765
2014-02-07,542974062.9848286,542853202.3924248,544097420.180811,543245370.3916765
2014-02-10,542577688.9848286,542477347.3924248,543241390.180811,542725260.3916765
2014-02-11,543097838.9848286,542987097.3924248,543863440.180811,543274110.3916765
2014-02-12,547306473.7348286,547213519.8924248,547694334.430811,547377421.8916765
2014-02-13,545140410.9848286,544969007.3924248,545509020.180811,545208510.3916765
2014-02-14,548078776.2348286,547974547.3924248,548239501.930811,548082699.3916765
2014-02-17,547882638.4848286,547839319.8924248,547808716.680811,547819939.8916765
2014-02-18,551833779.7348286,551794954.8924248,551881868.430811,551801518.8916765
2014-02-19,551658347.2348286,551633097.3924248,551464440.930811,551557461.3916765
2014-02-20,546942638.4848286,546930519.8924248,546569066.680811,546796489.8916765
2014-02-21,553421759.4848286,553384619.8924248,553678305.680811,553442251.8916765
2014-02-24,551166771.2348286,551152202.3924248,551132220.930811,551105821.3916765
2014-02-25,549312909.7348286,549274732.3924248,549570706.430811,549332875.3916765
2014-02-26,549119041.7348286,548997749.8924248,549853984.430811,549272111.8916765
2014-02-27,552341636.4848286,552143774.8924248,552490716.680811,552344079.8916765
2014-03-03,547160950.2348286,547098602.3924248,547188031.930811,547124409.3916765
2014-03-04,544205319.9848286,544092547.3924248,544057845.180811,544124255.3916765
2014-03-05,545694649.7348286,545604362.3924248,545567182.430811,545615988.3916765
2014-03-06,550474203.2348286,550438919.8924248,550335498.930811,550387657.8916765
2014-03-07,553558501.8921689,553513014.0497651,554088893.6973699,553650864.4714501
2014-03-10,549530398.8921689,549530646.5497651,549541476.6973699,549484515.9714501
2014-03-11,547324237.3921689,547332076.5497651,547329212.1973699,547276369.9714501
2014-03-12,547902990.3921689,547958694.0497651,547541479.1973699,547749818.4714501
2014-03-13,546274912.1415277,546348326.2991239,545548749.3892064,546024371.5460529
2014-03-14,543622782.3915277,543715311.2991239,542483762.1392064,543261438.5460529
2014-03-17,544776148.6415277,544765011.2991239,543676934.8892064,544426415.5460529
2014-03-18,546718288.1415277,546760221.2991239,546022069.3892064,546478461.5460529
2014-03-19,544485561.6415277,544510236.2991239,543793349.8892064,544243150.5460529
2014-03-20,539249832.6415277,539341323.7991239,538103062.8892064,538883412.0460529
2014-03-21,538805543.1415277,538913816.2991239,536825950.38920647,538222489.5460529
2014-03-24,540837594.1415277,540973493.7991239,539206727.3892064,540338408.0460529
2014-03-25,542105085.1415277,542223953.7991239,540596852.3892064,541646563.0460529
2014-03-26,543815073.3915277,543942571.2991239,542302937.1392064,543356893.5460529
2014-03-27,542111617.1415277,542168171.2991239,540878880.3892064,541729649.5460529
2014-03-28,547091488.1415277,547154221.2991239,546195769.3892064,546796061.5460529
2014-03-31,550483258.1415277,550524543.7991239,549573831.3892064,550189505.0460529
2014-04-01,551248619.1415277,551285573.7991239,549894046.3892064,550832730.0460529
2014-04-02,549428617.8915277,549604488.7991239,547925428.6392064,548974468.0460529
2014-04-03,550952558.6415277,551104983.7991239,549414880.8892064,550485976.0460529
2014-04-07,549291906.1415277,549507606.2991239,547490763.3892064,548757298.5460529
2014-04-08,551836489.8915277,551910098.7991239,550325958.6392064,551380868.0460529
2014-04-09,553438339.8915277,553459948.7991239,552418958.6392064,553117918.0460529
2014-04-10,555635050.8915277,555579528.7991239,554858373.6392064,555381893.0460529
2014-04-11,554965657.3915277,554938441.2991239,554293831.1392064,554738910.5460529
2014-04-14,554280243.6415277,554324618.7991239,553537625.8892064,554028911.0460529
2014-04-15,552613986.8915277,552598131.2991239,551859441.6392064,552370469.5460529
2014-04-16,551196986.3915277,551132391.2991239,550482392.1392064,550964598.5460529
2014-04-17,553830465.3915277,553751053.7991239,553080479.1392064,553587487.0460529
2014-04-18,554547023.8915277,554464156.2991239,553678326.6392064,554276384.5460529
2014-04-21,552477805.8915277,552374223.7991239,551496804.6392064,552178121.0460529
2014-04-22,552074361.1415277,551944243.7991239,550891862.3892064,551719723.0460529
2014-04-23,550612196.8915277,550484131.2991239,549594357.6392064,550297702.5460529
2014-04-24,551789059.1415277,551669903.7991239,551029022.3892064,551543793.0460529
2014-04-25,544994392.1859827,544933143.0935789,543521754.7585508,544555488.340508
2014-04-28,546103773.1859827,546140650.5935789,544758941.7585508,545694036.840508
2014-04-29,548585602.1859827,548628463.0935789,547007128.7585508,548110175.340508
2014-04-30,543867416.9359827,543833350.5935789,542803685.0085508,543534792.840508
2014-05-02,548835712.7103357,548810719.367932,547710357.324413,548482642.7307576
2014-05-05,547127118.0465155,547161630.7041117,545814284.1803672,546720569.6087223
2014-05-06,550305955.5874346,550268340.9390562,549377484.1036409,550009677.1801428
2014-05-07,550558300.3374346,550547070.9390562,549835876.3536409,550319225.1801428
2014-05-08,553070385.8374346,553093445.9390562,552215470.8536409,552788581.1801428
2014-05-09,551848973.5874346,551852823.4390562,550839456.1036409,551527440.6801428
2014-05-12,548553997.0874346,548561688.4390562,547354486.6036409,548177679.6801428
2014-05-13,549719898.3374346,549750930.9390562,549124736.3536409,549507045.1801428
2014-05-14,552668328.8374346,552593543.4390562,551950213.8536409,552427342.6801428
2014-05-15,553378871.8374346,553174890.9390562,553081606.8536409,553254254.1801428
2014-05-16,554001291.0874346,553935265.9390562,553537478.6036409,553827233.1801428
2014-05-19,554454661.8374346,554425240.9390562,553834590.8536409,554241271.1801428
2014-05-20,553263906.5874346,553253868.4390562,552682461.1036409,553049245.6801428
