date,nav_base,nav_blend_e45_a25,rel_blend_vs_base
2021-04-12,1059377908.108514,1049497301.9500602,0.990673199730873
2021-04-13,1068224894.9085139,1056089594.9500604,0.9886397517823315
2021-04-14,1076271105.7085137,1060711752.5500603,0.9855432770833231
2021-04-15,1084481432.6085136,1068188649.4500602,0.9849764295924697
2021-04-16,1087735512.3085136,1072930584.6500603,0.9863892210092207
2021-04-19,1100083374.4085138,1084926309.6500602,0.9862218945299458
2021-04-20,1105821129.3085136,1087447265.8500602,0.9833844163658341
2021-04-21,1095916327.3085136,1080008914.6500602,0.9854848292136309
2021-04-22,1097958818.2335708,1081680939.6329472,0.9851744179013818
2021-04-23,1095812862.0421267,1079121814.2340636,0.9847683410313709
2021-04-26,1111840719.8421266,1092444002.7340636,0.9825544102119077
2021-04-27,1093601951.0421267,1082707475.8340635,0.9900379885042437
2021-04-28,1088146634.2421267,1079927702.7340636,0.9924468529797114
2021-04-29,1085218705.0421267,1077238490.1340635,0.9926464454851491
2021-05-03,1071196854.4421266,1062864373.5340635,0.9922213355336983
2021-05-04,1062166283.4421268,1054366128.0340636,0.9926563707305927
2021-05-05,1062288751.4421268,1052917677.1340636,0.991178411429716
2021-05-06,1076193461.6694427,1063918814.2340635,0.9885943857934817
2021-05-07,1080075190.5164595,1070386413.8510104,0.9910295350263382
2021-05-10,1090518624.9164596,1081247774.4510105,0.9914986775524726
2021-05-11,1069708358.1164595,1061634724.0510105,0.9924524904342479
2021-05-12,1031009479.1468238,1023557466.315485,0.9927721199639159
2021-05-13,1025972032.6287564,1019001457.4708599,0.9932058818991036
2021-05-14,1038177921.1140443,1031502253.9053992,0.9935698235602222
2021-05-17,1015990989.3832854,1009170236.8420329,0.9932866013453596
2021-05-18,1040872204.3616161,1033927756.8846455,0.9933282419802633
2021-05-19,1035694675.347077,1030470011.1154722,0.9949554010887871
2021-05-20,1034796023.8470771,1028923239.5565743,0.994324693799393
2021-05-21,1046082049.6470771,1038534024.5565743,0.9927844808224658
