date,ret,core_w,alpha_w,cash_w,e45_exposure,nav
2019-12-04,0.002176772589825671,0.8,0.2,0.0,1.0,1.1826022708044366
2019-12-05,0.0008452005802715324,0.8,0.2,0.0,1.0,1.183601806929951
2019-12-06,-0.0015225796192312128,0.8,0.2,0.0,1.0,1.1817996789414342
2019-12-09,0.003986066893520279,0.8,0.2,0.0,1.0,1.1865104115164355
2019-12-10,-0.0030842334418802906,0.8,0.2,0.0,1.0,1.1828509364260975
2019-12-11,0.0022522596051421486,0.8,0.2,0.0,1.0,1.1855150238091146
2019-12-12,0.004186545877932391,0.8,0.2,0.0,1.0,1.1904782368452695
2019-12-13,0.0071545847710119855,0.8,0.2,0.0,1.0,1.1989956143088238
2019-12-16,-0.001420634201529314,0.8,0.2,0.0,1.0,1.1972922801316532
2019-12-17,0.00667794466261964,0.8,0.2,0.0,1.0,1.2052877317233541
2019-12-18,0.006574477857915717,0.8,0.2,0.0,1.0,1.2132118692279867
2019-12-19,-0.0006967492296755751,0.8,0.2,0.0,1.0,1.212366564792669
2019-12-20,-0.007831989136051388,0.8,0.2,0.0,1.0,1.2028713230283008
2019-12-23,0.005498793624764064,0.8,0.2,0.0,1.0,1.2094856641907805
2019-12-24,-0.00288620523940617,0.8,0.2,0.0,1.0,1.2059948403298064
2019-12-25,-0.0007992561981023272,0.8,0.2,0.0,1.0,1.2050309414787934
2019-12-26,0.001735712779869836,0.8,0.2,0.0,1.0,1.2071225290840568
2019-12-27,0.0038180702900490362,0.8,0.2,0.0,1.0,1.2117314077488015
2019-12-30,-0.0015769113006941283,0.8,0.2,0.0,1.0,1.2098206147985164
2019-12-31,-0.004877926874045935,0.8,0.2,0.0,1.0,1.203919198308816
2020-01-02,0.00021081963218396723,0.8,0.2,0.0,1.0,1.2041730081113826
2020-01-03,0.0035330010404140745,0.8,0.2,0.0,1.0,1.2084273526018785
2020-01-06,-0.008115784386497717,0.8,0.2,0.0,1.0,1.1986200167614154
2020-01-07,0.0004960153560351179,0.8,0.2,0.0,1.0,1.19921455069578
2020-01-08,-0.0058529620221863705,0.8,0.2,0.0,1.0,1.1921955934741044
2020-01-09,0.00547332691303657,0.8,0.2,0.0,1.0,1.1987208697014697
2020-01-10,0.00424555463208316,0.8,0.2,0.0,1.0,1.2038101046424057
2020-01-13,0.010596163889573207,0.8,0.2,0.0,1.0,1.216565873803121
2020-01-14,0.005400880207429415,0.8,0.2,0.0,1.0,1.2231364003519785
2020-01-15,-0.0034524027793799705,0.8,0.2,0.0,1.0,1.2189136408438426
2020-01-16,-0.0013577071585586743,0.8,0.2,0.0,1.0,1.2172587130680042
2020-01-17,0.004187258618614198,0.8,0.2,0.0,1.0,1.2223556901053814
2020-01-20,0.005063666882184537,0.8,0.2,0.0,1.0,1.228545292131618
2020-01-30,-0.039233790790043854,0.8,0.2,0.0,1.0,1.180344803164033
2020-01-31,0.001680358656461811,0.8,0.2,0.0,1.0,1.1823282057716393
2020-02-03,-0.010704586742113189,0.8,0.2,0.0,1.0,1.1696718709353098
2020-02-04,0.010495196829782573,0.8,0.2,0.0,1.0,1.181947807447036
2020-02-05,0.007757971769152095,0.8,0.2,0.0,1.0,1.1911173251698213
2020-02-06,0.008332062436275534,0.8,0.2,0.0,1.0,1.2010417890920657
