date,nav_base,nav_chal_e45_e3,rel_chal_vs_base
2022-02-08,7858285.228428251,7592151.509185755,0.9661333596953535
2022-02-09,7911176.378428251,7648265.359185755,0.9667671397190201
2022-02-10,7934115.478428251,7667408.8091857545,0.9663848263908391
2022-02-11,7937658.67842825,7668595.159185754,0.9661029114323452
2022-02-14,7850504.578428252,7591003.759185755,0.9669446955096928
2022-02-15,7817414.1284282515,7561445.159185755,0.9672565678321099
2022-02-16,7853798.228428252,7598125.3091857545,0.9674459526707673
2022-02-17,7892661.6284282515,7632187.459185755,0.9669979302920696
2022-02-18,7845024.228428251,7592283.0591857545,0.9677832519207996
2022-02-21,7848708.528428251,7589390.66748563,0.96696044196273
2022-02-22,7784752.8784282515,7527968.967485629,0.9670145070816343
2022-02-23,7821033.228428251,7552089.667485629,0.9656127837476699
2022-02-24,7707366.178428251,7433321.31748563,0.9644437730609411
2022-02-25,7669550.228428251,7394346.56748563,0.964117366371428
2022-03-01,7797644.178428252,7490443.067485629,0.9606033432773865
2022-03-02,7846774.278428251,7545842.217485629,0.9616489463995516
2022-03-03,7822134.1284282515,7526560.06748563,0.9622131177898872
2022-03-04,7802336.878428251,7500537.81748563,0.9613194013992103
2022-03-07,7641068.078428252,7342975.51748563,0.9609881029873066
2022-03-08,7588752.713889876,7265945.059156629,0.9574623568715839
2022-03-09,7588065.785899626,7272838.383513379,0.95845747634766
2022-03-10,7747306.944718126,7435379.239292879,0.959737272880622
2022-03-11,7713663.753584377,7406392.82680338,0.960165371917046
2022-03-14,7762415.822615126,7443491.937015129,0.9589143518090284
2022-03-15,7783500.873519626,7471007.62697013,0.9598518389568588
2022-03-16,7909690.881849752,7571542.778421504,0.9572488851360562
2022-03-17,7966381.076877002,7611034.028421504,0.9553941689424176
2022-03-18,8015154.150287752,7687575.928421504,0.9591301407653541
2022-03-21,8016589.473698502,7665971.826710255,0.9562634898370955
2022-03-22,8054340.896319753,7692811.923008755,0.9551137730616555
2022-03-23,8182252.748563502,7793416.191245504,0.9524780559502682
2022-03-24,8188226.926551127,7815051.823971503,0.954425407853614
2022-03-25,8168404.558739627,7812209.2799497545,0.9563935311689762
2022-03-28,8164389.678488377,7824184.006742504,0.9583305445791925
2022-03-29,8108286.798069127,7779197.390784004,0.9594132009041058
2022-03-30,8209906.157624127,7866563.914606004,0.9581795167415795
2022-03-31,8327718.308475377,7986938.61243788,0.95907886369179
2022-04-01,8346127.343737377,8002833.644051255,0.9588679053712598
2022-04-06,8560292.946184376,8245690.0959822545,0.963248588315853
2022-04-07,8432948.796184378,8087635.937574254,0.9590519441116059
2022-04-08,8557705.996184377,8213878.69902988,0.9598224924637748
2022-04-11,8578249.496184377,8237552.104113879,0.9602835762445425
2022-04-12,8525146.652448626,8171515.878678629,0.9585190978892515
2022-04-13,8584382.891981628,8207604.398020879,0.9561088433843411
2022-04-14,8381215.443158503,8028939.371899004,0.9579683789721624
2022-04-15,8334481.995157127,7980534.946527004,0.9575322079001684
2022-04-18,8167015.721417127,7836701.446527004,0.9595550827673921
2022-04-19,8153305.705678127,7829821.94430588,0.9603248335031807
