date,nav_base,nav_blend025,rel_blend025_vs_base
2024-08-29,49598565.706445724,49721178.05372331,1.0024720946166727
2024-08-30,49948152.47928317,50047950.22317201,1.0019980267324249
2024-09-02,49934616.82307595,50055120.470607765,1.002413228641741
2024-09-03,49812569.319867626,49921620.99707261,1.0021892401595411
2024-09-04,48798553.55667825,48902386.96587162,1.0021277968633386
2024-09-05,49507166.69251156,49583742.396492824,1.0015467599763257
2024-09-06,49935520.64850247,50035126.521970585,1.0019946897954513
2024-09-09,49553212.598940715,49705479.95010894,1.003072804833071
2024-09-10,49813561.42617779,49955185.79267268,1.0028430885574156
2024-09-11,49606234.47890039,49739777.71501466,1.0026920655743599
2024-09-12,50124621.301467106,50214562.69642926,1.0017943556006381
2024-09-13,50072579.37532728,50193770.280954316,1.0024203048282898
2024-09-16,50055037.467364945,50217739.864642456,1.0032504699928273
2024-09-18,49984570.84338516,50174466.57865392,1.0037990870395537
2024-09-19,50480060.3679199,50567497.52542458,1.0017321127761616
2024-09-20,50562320.41019363,50681717.92220813,1.0023613930501185
2024-09-23,50940495.8930979,51078404.65871447,1.0027072521222797
2024-09-24,50962336.7418515,51106644.67341561,1.0028316584519092
2024-09-25,50957577.44416516,51070425.53255796,1.0022145497108148
2024-09-26,51016106.62785389,51162397.22952576,1.0028675375551297
2024-09-27,50636646.57296502,50768447.13589559,1.0026028691047038
2024-09-30,50367945.14206884,50458079.7606964,1.0017895234433989
2024-10-01,50261369.096801534,50398537.83711118,1.0027291087126071
2024-10-04,49966073.44944476,50035563.59731369,1.0013907466220902
2024-10-07,50222221.54906507,50297928.65727634,1.001507442440341
2024-10-08,49584816.58722465,49696244.22350532,1.002247212835499
2024-10-09,49573739.06802099,49691122.71513063,1.0023678594618124
2024-10-11,49693045.71177784,49817360.33216556,1.0025016502532114
2024-10-14,50146275.94783338,50206716.026264936,1.001205275512272
2024-10-15,50881249.158408776,50914170.64598843,1.0006470259304594
2024-10-16,50030219.44528072,50130877.38984392,1.0020119428952992
2024-10-17,50220345.76506514,50330077.29208715,1.0021850014242304
2024-10-18,50908594.9450948,51023666.56760802,1.0022603574629652
2024-10-21,50421325.93604039,50556921.8012673,1.0026892562365164
2024-10-22,50806921.91858222,50875370.08829715,1.001347221345639
2024-10-23,50028374.45920857,50150054.02891094,1.0024322111405315
2024-10-24,50068572.029011264,50154023.626504,1.0017066913241148
2024-10-25,49893231.86681518,50046079.56124204,1.003063495562582
2024-10-28,50072340.63128768,50223157.22082461,1.0030119740286854
2024-10-29,49637598.63242319,49756800.086538404,1.0024014347470336
2024-10-30,49796665.27976238,49905146.02455779,1.0021784740842776
2024-11-01,49256645.140579596,49380825.60990048,1.0025210906866773
2024-11-04,49700038.978517674,49865179.63796272,1.0033227470810722
2024-11-05,49883087.03504677,50042145.77806948,1.0031886307058535
2024-11-06,49729774.413764074,49913792.89026159,1.0037003682133452
2024-11-07,49815882.592471935,50050526.13687595,1.0047102155415686
2024-11-08,50151295.62820407,50364761.78197614,1.0042564434497285
2024-11-11,50090057.59881144,50325071.44079591,1.0046918261477513
2024-11-12,49695625.86941812,49880772.85914181,1.0037256194380204
2024-11-13,49838590.83288313,49993027.9128519,1.0030987449160957
2024-11-14,49440021.518680915,49590228.11723193,1.0030381580334518
2024-11-15,49439637.198688775,49636409.336237915,1.0039800481698187
2024-11-18,49400747.960774444,49580120.032683484,1.003630958625393
2024-11-19,49893226.6277184,50075948.86020105,1.0036622652979743
2024-11-20,49479916.02292838,49709490.82720904,1.0046397573547676
2024-11-21,49961234.0997,50032145.76424235,1.0014193337258412
2024-11-22,49950956.364170305,50119461.22216295,1.0033734060418011
2024-11-25,50056512.488984086,50234530.71321747,1.0035563449265978
2024-11-26,50050999.061101176,50167666.834144495,1.002330977907172
2024-11-27,50855585.225029595,50792711.83351704,0.9987636875825074
2024-11-28,50753583.94171897,50681373.32707084,0.9985772312211281
2024-11-29,50594104.62700248,50542554.62423818,0.9989811065311988
2024-12-02,51274500.97941715,51163139.079584904,0.9978281231858902
2024-12-03,52246527.23186345,52073768.23817345,0.9966933880040808
2024-12-04,52300077.53713105,52151992.02742297,0.9971685412970384
2024-12-05,52328383.48385698,52194818.061833374,0.9974475530652536
2024-12-06,52506231.00326904,52307216.5688956,0.9962096987239277
