family,top_k,rebalance_every,exit_multiple,neutralization,industry_cap,min_hold_cycles,liquidity_floor,replace_rank_gap,cagr,max_drawdown,average_daily_turnover,total_cost,trade_count,ending_nav,utility,block_bootstrap_positive_probability,mean_daily_excess,hac_t_stat,turnover_gate_pass,bootstrap_gate_pass,implied_avg_rebalance_day_turnover,diag_rebalance_events,diag_forced_rank_exits,diag_liquidity_or_missing_exits,diag_min_hold_blocks,diag_replace_gap_blocks,diag_mean_jaccard,diag_mean_one_way_name_churn,diag_mean_names_held,diag_exit_rank,both_gates_pass,is_c1_reference,feature_set,mode,ridge_lambda
C2_combined_stabilizer,20,42,2.5,NONE,5,1,20000000.0,5,0.06032417506470278,-0.308562370686578,0.016950243079014066,0.1274509773996449,1283,1.5811267561711106,-0.09395701027858622,0.3758,-0.000047779671559782845,-0.28898402543039486,true,false,0.7119102093185908,47,325,84,0,393,0.4998934082176067,0.38722826086956524,19.914893617021278,50,false,false,TECH2,BREADTH_REGIME,1.0
C2_replace_gap,20,42,2.5,NONE,5,1,20000000.0,3,0.06327441783052312,-0.308562370686578,0.01695286121117972,0.12931886293651185,1283,1.6158640500975963,-0.09100676751276587,0.4026,-0.00003673735087876383,-0.22204698174256116,true,false,0.7120201708695482,47,323,84,0,359,0.4998370871717804,0.38722826086956524,19.914893617021278,50,false,false,TECH2,BREADTH_REGIME,1.0
C2_replace_gap,20,42,2.5,NONE,5,0,20000000.0,3,0.06327441783052312,-0.308562370686578,0.01695286121117972,0.12931886293651185,1283,1.6158640500975963,-0.09100676751276587,0.4026,-0.00003673735087876383,-0.22204698174256116,true,false,0.7120201708695482,47,323,84,0,359,0.4998370871717804,0.38722826086956524,19.914893617021278,50,false,false,TECH2,BREADTH_REGIME,1.0
C2_replace_gap,20,42,2.0,NONE,5,1,20000000.0,8,0.059822348562887484,-0.2990840556662001,0.0169629930442289,0.12866199899331193,1258,1.5752833410999758,-0.08971967927021257,0.38,-0.00004787256009637928,-0.28802812643612724,true,false,0.7124457078576139,47,386,92,0,1118,0.4925190392857295,0.38982720178372354,19.51063829787234,40,false,false,TECH2,BREADTH_REGIME,1.0
C2_replace_gap,20,42,2.0,NONE,5,0,20000000.0,8,0.059822348562887484,-0.2990840556662001,0.0169629930442289,0.12866199899331193,1258,1.5752833410999758,-0.08971967927021257,0.38,-0.00004787256009637928,-0.28802812643612724,true,false,0.7124457078576139,47,386,92,0,1118,0.4925190392857295,0.38982720178372354,19.51063829787234,40,false,false,TECH2,BREADTH_REGIME,1.0
C2_reb_neighborhood,20,56,2.0,NONE,5,0,20000000.0,0,0.05253719811710944,-0.3467724869501665,0.017396950995038404,0.1391577312566949,1059,1.4925491894965905,-0.1208490453579738,0.3202,-0.0000777751639438541,-0.4686829740467497,true,false,0.9742292557221506,36,279,61,0,0,0.3950480017773996,0.4857142857142857,20.0,40,false,false,TECH2,BREADTH_REGIME,1.0
C2_reb_neighborhood,20,56,2.0,NONE,5,1,20000000.0,0,0.05253719811710944,-0.3467724869501665,0.017396950995038404,0.1391577312566949,1059,1.4925491894965905,-0.1208490453579738,0.3202,-0.0000777751639438541,-0.4686829740467497,true,false,0.9742292557221506,36,279,61,0,0,0.3950480017773996,0.4857142857142857,20.0,40,false,false,TECH2,BREADTH_REGIME,1.0
C2_exit_minhold,20,42,3.0,NONE,5,0,20000000.0,0,0.07920950998433085,-0.30848182739403773,0.017644085889273617,0.15089043204552094,1289,1.8152413081699765,-0.07503140371268802,0.5902,0.000020745801297382012,0.13359569659589007,true,false,0.7410516073494919,47,279,75,0,0,0.5051000849301107,0.3847826086956522,20.0,60,false,false,TECH2,BREADTH_REGIME,1.0
C2_exit_minhold,20,42,3.0,NONE,5,2,20000000.0,0,0.07920950998433085,-0.30848182739403773,0.017644085889273617,0.15089043204552094,1289,1.8152413081699765,-0.07503140371268802,0.5902,0.000020745801297382012,0.13359569659589007,true,false,0.7410516073494919,47,279,75,0,0,0.5051000849301107,0.3847826086956522,20.0,60,false,false,TECH2,BREADTH_REGIME,1.0
C2_exit_minhold,20,42,3.0,NONE,5,1,20000000.0,0,0.07920950998433085,-0.30848182739403773,0.017644085889273617,0.15089043204552094,1289,1.8152413081699765,-0.07503140371268802,0.5902,0.000020745801297382012,0.13359569659589007,true,false,0.7410516073494919,47,279,75,0,0,0.5051000849301107,0.3847826086956522,20.0,60,false,false,TECH2,BREADTH_REGIME,1.0
