date,nav_base,nav_m2_reloc_bil_fx_c35,rel_chal_vs_base
2024-07-31,10060940.307534378,9128787.8667771,0.9073493717024428
2024-08-01,10225588.907534378,9282099.738863733,0.9077325348004683
2024-08-02,10095889.707534378,9193093.33360553,0.9105778291877428
2024-08-05,9538047.501352252,8714616.553761516,0.913668814558326
2024-08-06,9756266.990207627,8891672.979647374,0.9113806529251355
2024-08-07,9778983.705684753,8917836.407879239,0.9119389781470942
2024-08-08,9648957.514022129,8822103.285898184,0.9143063665766652
2024-08-09,9807487.891800128,8940390.972183453,0.9115882752869223
2024-08-12,9859761.109038629,8973313.086377189,0.910094371165969
2024-08-13,9640802.870146628,8787365.770882733,0.9114765532747673
2024-08-14,9720556.351229003,8853650.04502244,0.9108172130397704
2024-08-15,9660603.559531128,8810747.506853506,0.9120286794256084
2024-08-16,9791871.373836003,8916421.432709064,0.9105942155790413
2024-08-19,9787051.485180004,8921747.84824957,0.9115868923096281
2024-08-20,9878415.828870378,8992998.876478745,0.9103685279370464
2024-08-21,9838148.143651629,8962529.18336596,0.9109975833357734
2024-08-22,9886030.917514505,9005996.811710102,0.9109820601263449
2024-08-23,9852332.95528313,8971661.690204782,0.9106129209116808
2024-08-26,9881376.905283129,8976155.23531292,0.908391140359576
2024-08-27,9860972.70528313,8952416.71933265,0.9078634519022946
2024-08-28,9820359.155283129,8933588.96505602,0.909700839225412
2024-08-29,9755668.279146004,8878526.19838124,0.9100889805119995
2024-08-30,9813473.061104504,8935295.814637525,0.9105131036689125
2024-09-02,9815134.05073713,8936068.557969091,0.9104377496808596
2024-09-03,9794335.17354863,8922957.418380925,0.9110324754332466
2024-09-04,9596009.63038563,8772873.35761454,0.9142209830464696
2024-09-05,9728648.344777629,8878471.145414758,0.9126109641100093
2024-09-06,9817273.267247254,8941150.303449929,0.9107569953542722
2024-09-09,9756279.707999254,8888459.851611232,0.9110501254206059
2024-09-10,9807956.073974503,8926852.746820107,0.9101644297232926
2024-09-11,9759676.81621313,8895271.41406227,0.9114309399349293
2024-09-12,9854632.370437128,8981442.06236209,0.91139290891312
2024-09-13,9851396.170437127,8969010.181238784,0.9104303619575995
2024-09-16,9858236.220437128,8964889.91173337,0.9093807159082109
2024-09-18,9848531.620437128,8954935.702939244,0.9092660762094175
2024-09-19,9922689.420437127,9028996.65670034,0.9099344214184406
2024-09-20,9946555.820437128,9046415.31999411,0.9095022923821023
2024-09-23,10020938.470437128,9109278.186292883,0.9090244604501122
2024-09-24,10029448.670437127,9111626.421900118,0.9084872679749199
2024-09-25,10031605.020437129,9104265.571348412,0.907558217533538
2024-09-26,10049143.397283379,9117812.131789975,0.9073223230404719
2024-09-27,9967246.385269005,9055601.16310033,0.9085358997931433
2024-09-30,9911068.735269004,9008904.134982334,0.9089740345482344
2024-10-01,9901477.085269004,8998917.109773705,0.908845925943909
2024-10-04,9830670.385269005,8952609.885848377,0.9106815237406009
2024-10-07,9884209.985269004,8994497.8827863,0.9099865235756127
2024-10-08,9761928.213231502,8898795.139064226,0.9115817023733724
2024-10-09,9752883.94705963,8895211.883286389,0.9120596463129433
2024-10-11,9777894.366268879,8910275.726258185,0.9112673334860575
2024-10-14,9853371.66626888,8977342.320896,0.9110934434380672
2024-10-15,9986919.638351377,9085050.753447449,0.9096949892897299
2024-10-16,9841973.050019754,8959767.145098543,0.9103629017842677
2024-10-17,9885473.200019754,8988663.643210474,0.9092800578522141
2024-10-18,10012760.500019753,9087347.234924,0.9075766103569612
2024-10-21,9910901.650019754,9007184.240052616,0.9088158230320713
2024-10-22,9978301.748638503,9070181.974866254,0.9089905480262552
2024-10-23,9832571.158131754,8954155.56363935,0.910662676082854
2024-10-24,9838255.858131753,8963077.780985266,0.9110433709219796
2024-10-25,9811245.006750504,8935362.913987437,0.9107267128524029
2024-10-28,9855499.156750504,8964408.087531557,0.9095843797410712
2024-10-29,9785539.306750502,8907349.093242364,0.9102563296738971
2024-10-30,9815549.277014378,8926250.0895193,0.9093989381136723
2024-11-01,9705218.027014378,8848171.300667554,0.9116921717821028
2024-11-04,9803004.927014379,8909446.26789566,0.9088484943370457
2024-11-05,9835534.777014378,8937038.317895658,0.9086479302357301
2024-11-06,9792584.97701438,8916496.87027562,0.9105355624898681
2024-11-07,9810122.47701438,8927708.47484797,0.910050664073364
2024-11-08,9862866.07701438,8969628.218999984,0.9094342505475052
2024-11-11,9856726.527014378,8964841.051893607,0.9095150430849048
2024-11-12,9793688.22701438,8922344.996998433,0.9110301237063602
2024-11-13,9826456.878700005,8951395.915841654,0.9109484757669727
2024-11-14,9748728.978700005,8895177.334719578,0.9124448278493175
2024-11-15,9759430.278700005,8896404.379667109,0.9115700533343167
2024-11-18,9773462.428700004,8901217.799324034,0.9107537747508393
2024-11-19,9863724.428700006,8971750.319096653,0.90957025248921
2024-11-20,9793708.978700005,8905098.194173794,0.9092671850410484
2024-11-21,9855552.778700005,8988450.476638934,0.9120189073579852
2024-11-22,9862963.83772838,8979498.184141146,0.9104259461838693
2024-11-25,9897414.687728379,8998798.754811618,0.909207003922859
2024-11-26,9891130.83772838,9003364.218012668,0.9102461958819263
