signal_date,execution_date,code,side,gross_value,cost,period
2019-03-05,2019-03-06,1216,BUY,0.0012241364666945873,2.3564626983870807e-6,VALIDATION_2019_2022
2019-03-05,2019-03-06,2881,BUY,0.05213729562702176,0.0001003642940820169,VALIDATION_2019_2022
2019-03-12,2019-03-13,3045,SELL,0.00011398530313454225,5.613776179376206e-7,VALIDATION_2019_2022
2019-03-12,2019-03-13,2892,SELL,0.0002528550025724524,1.2453108876693284e-6,VALIDATION_2019_2022
2019-03-12,2019-03-13,2886,SELL,0.00026170246807385306,1.2888846552637264e-6,VALIDATION_2019_2022
2019-03-12,2019-03-13,2885,SELL,0.0009242006848177789,4.551688372727561e-6,VALIDATION_2019_2022
2019-03-12,2019-03-13,2884,SELL,0.0004667845530427067,2.298913923735331e-6,VALIDATION_2019_2022
2019-03-12,2019-03-13,1303,SELL,0.0005699050716422918,2.8067824778382876e-6,VALIDATION_2019_2022
2019-03-12,2019-03-13,1301,SELL,0.0008998106216609528,4.431567311680193e-6,VALIDATION_2019_2022
2019-03-12,2019-03-13,1326,SELL,0.0006102046999238997,3.0052581471252065e-6,VALIDATION_2019_2022
2019-03-12,2019-03-13,1101,SELL,0.0004898189168449987,2.412358165461619e-6,VALIDATION_2019_2022
2019-03-12,2019-03-13,1102,SELL,0.05270228660402339,0.0002595587615248152,VALIDATION_2019_2022
2019-03-12,2019-03-13,1216,SELL,0.05227058608656404,0.00025743263647632795,VALIDATION_2019_2022
2019-03-12,2019-03-13,2324,SELL,0.05199936627351114,0.0002560968788970424,VALIDATION_2019_2022
2019-03-12,2019-03-13,2412,SELL,2.632958016307585e-6,1.2967318230314858e-8,VALIDATION_2019_2022
2019-03-12,2019-03-13,2891,BUY,0.0003773446895808263,7.263885274430907e-7,VALIDATION_2019_2022
2019-03-12,2019-03-13,2002,BUY,0.0007418732547911811,1.4281060154730237e-6,VALIDATION_2019_2022
2019-03-12,2019-03-13,2887,BUY,0.05226215946610855,0.00010060465697225896,VALIDATION_2019_2022
2019-03-12,2019-03-13,2834,BUY,0.05226215946610855,0.00010060465697225896,VALIDATION_2019_2022
2019-03-12,2019-03-13,2317,BUY,0.0012115240484040107,2.3321837931777205e-6,VALIDATION_2019_2022
2019-03-12,2019-03-13,2330,BUY,0.0003472962039321011,6.685451925692946e-7,VALIDATION_2019_2022
2019-03-12,2019-03-13,4938,BUY,0.05226215946610855,0.00010060465697225896,VALIDATION_2019_2022
2019-03-12,2019-03-13,2382,BUY,0.0001248638390867714,2.4036289024203497e-7,VALIDATION_2019_2022
2019-03-12,2019-03-13,2633,BUY,0.00033144595052519136,6.380334547609934e-7,VALIDATION_2019_2022
2019-03-12,2019-03-13,2881,BUY,0.000538724837304593,1.0370453118113416e-6,VALIDATION_2019_2022
2019-03-19,2019-03-20,2382,SELL,0.00030112024474246435,1.4830172053566372e-6,VALIDATION_2019_2022
2019-03-19,2019-03-20,2886,SELL,0.0009958374280163926,4.904499332980734e-6,VALIDATION_2019_2022
2019-03-19,2019-03-20,2885,SELL,0.05144272426562218,0.00025335541700818924,VALIDATION_2019_2022
2019-03-19,2019-03-20,2884,SELL,0.001760831102866782,8.672093181618903e-6,VALIDATION_2019_2022
2019-03-19,2019-03-20,2891,SELL,0.000540152601298978,2.660251561397467e-6,VALIDATION_2019_2022
2019-03-19,2019-03-20,1301,SELL,0.0009115074166155673,4.48917402683167e-6,VALIDATION_2019_2022
2019-03-19,2019-03-20,1326,SELL,0.00013155196554889836,6.478934303283245e-7,VALIDATION_2019_2022
2019-03-19,2019-03-20,2330,SELL,0.0014431250002021612,7.107390625995644e-6,VALIDATION_2019_2022
2019-03-19,2019-03-20,2317,SELL,0.0006785988971166959,3.3420995682997275e-6,VALIDATION_2019_2022
2019-03-19,2019-03-20,2633,SELL,0.00040357784722303003,1.9876208975734232e-6,VALIDATION_2019_2022
2019-03-19,2019-03-20,2881,SELL,0.0018036412660429185,8.882933235261375e-6,VALIDATION_2019_2022
2019-03-19,2019-03-20,2887,SELL,0.00042705489503622185,2.1032453580533928e-6,VALIDATION_2019_2022
2019-03-19,2019-03-20,4938,SELL,0.04914907054484217,0.0002420591724333477,VALIDATION_2019_2022
2019-03-19,2019-03-20,3045,BUY,0.0003510263231593874,6.757256720818207e-7,VALIDATION_2019_2022
2019-03-19,2019-03-20,2892,BUY,0.00022629563230948868,4.356190921957657e-7,VALIDATION_2019_2022
2019-03-19,2019-03-20,1303,BUY,0.0005565131886879905,1.0712878882243817e-6,VALIDATION_2019_2022
2019-03-19,2019-03-20,2882,BUY,0.05261318578926792,0.00010128038264434075,VALIDATION_2019_2022
2019-03-19,2019-03-20,2834,BUY,0.0009255094084948939,1.7816056113526708e-6,VALIDATION_2019_2022
2019-03-19,2019-03-20,2002,BUY,0.0007733206458986911,1.4886422433549803e-6,VALIDATION_2019_2022
2019-03-19,2019-03-20,2412,BUY,0.0003510263231593874,6.757256720818207e-7,VALIDATION_2019_2022
2019-03-19,2019-03-20,1101,BUY,0.0008267546928118943,1.5915027836628966e-6,VALIDATION_2019_2022
2019-03-19,2019-03-20,1216,BUY,0.05261318578926792,0.00010128038264434075,VALIDATION_2019_2022
2019-03-26,2019-03-27,3045,SELL,0.0003968795235984035,1.9546316537221373e-6,VALIDATION_2019_2022
2019-03-26,2019-03-27,2892,SELL,0.00016842210158642124,8.294788503131247e-7,VALIDATION_2019_2022
2019-03-26,2019-03-27,2382,SELL,0.000010826234109341526,5.3319202988507025e-8,VALIDATION_2019_2022
2019-03-26,2019-03-27,2002,SELL,0.0002321388970619176,1.1432840680299442e-6,VALIDATION_2019_2022
