fill_id,signal_date,fill_date,code,sleeve,side,quantity,fill_price,fill_price_adj,ohlc_basis,t1_drag_vs_signal_ext_pct,dh_exposure,cool_exposure_cf,defense_dh,defense_cool_cf,e16_financial,e16_telecom,e16_0050,mechanisms,extremes
2026-08-31-0050-BUY,2026-08-31,2026-09-01,0050,0050,BUY,66000,106.55325,106.55325,adj_close_scaled,1.4793,,1.0,False,False,0.7950658226458608,0.1360668492773293,0.0688673280768098,"['T1_ALWAYS', 'T1_DRAG']","{'n5': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 4.0559, 'low': 102.4, 'high': 110.75, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 6.8203, 'low': 99.75, 'high': 113.75, 'n_bars': 39}}"
2026-08-31-2880-BUY,2026-08-31,2026-09-01,2880,FIN,BUY,158000,40.82039999999999,40.8204,adj_close_scaled,1.5433,,1.0,False,False,0.7950658226458608,0.1360668492773293,0.0688673280768098,"['T1_ALWAYS', 'T1_DRAG', 'KD_OFFSEASON']","{'n5': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 4.2667, 'low': 39.15, 'high': 45.25, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 7.4221, 'low': 38.0, 'high': 48.3, 'n_bars': 39}}"
2026-08-31-2886-BUY,2026-08-31,2026-09-01,2886,FIN,BUY,135000,48.2241,48.2241,adj_close_scaled,0.9929,,1.0,False,False,0.7950658226458608,0.1360668492773293,0.0688673280768098,"['T1_ALWAYS', 'T1_DRAG', 'KD_OFFSEASON']","{'n5': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 4.6076, 'low': 46.1, 'high': 50.9, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 7.2839, 'low': 44.95, 'high': 52.9, 'n_bars': 39}}"
2026-08-31-2892-BUY,2026-08-31,2026-09-01,2892,FIN,BUY,185000,35.067525,35.067525,adj_close_scaled,2.2377,,1.0,False,False,0.7950658226458608,0.1360668492773293,0.0688673280768098,"['T1_ALWAYS', 'T1_DRAG', 'KD_OFFSEASON']","{'n5': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 5.4662, 'low': 33.25, 'high': 38.0, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 8.0663, 'low': 32.45, 'high': 40.95, 'n_bars': 39}}"
2026-08-31-5880-BUY,2026-08-31,2026-09-01,5880,FIN,BUY,256000,25.362675,25.362675,adj_close_scaled,1.2482,,1.0,False,False,0.7950658226458608,0.1360668492773293,0.0688673280768098,"['T1_ALWAYS', 'T1_DRAG', 'KD_OFFSEASON']","{'n5': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 2.0631, 'low': 24.85, 'high': 26.85, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 6.3425, 'low': 23.85, 'high': 27.6, 'n_bars': 39}}"
2026-09-01-2412-SELL,2026-09-01,2026-09-02,2412,TEL,SELL,32000,136.43175,136.43175,adj_close_scaled,0.05,,1.0,False,False,0.8101534576014104,0.109550136957997,0.0802964054405925,"['T1_ALWAYS', 'T1_DRAG', 'CLIP_FIN_HI']","{'n5': {'ok': True, 'kind': 'below_high_pct', 'dist_pct': 2.1995, 'low': 135.0, 'high': 139.5, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'below_high_pct', 'dist_pct': 6.5536, 'low': 135.0, 'high': 146.0, 'n_bars': 38}}"
2026-09-01-3045-SELL,2026-09-01,2026-09-02,3045,TEL,SELL,38000,115.44225,115.44225,adj_close_scaled,0.4808,,1.0,False,False,0.8101534576014104,0.109550136957997,0.0802964054405925,"['T1_ALWAYS', 'T1_DRAG', 'CLIP_FIN_HI']","{'n5': {'ok': True, 'kind': 'below_high_pct', 'dist_pct': 3.3956, 'low': 113.5, 'high': 119.5, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'below_high_pct', 'dist_pct': 8.0141, 'low': 107.5, 'high': 125.5, 'n_bars': 38}}"
2026-09-01-4904-SELL,2026-09-01,2026-09-02,4904,TEL,SELL,44000,100.44975,100.44975,adj_close_scaled,0.5448,,1.0,False,False,0.8101534576014104,0.109550136957997,0.0802964054405925,"['T1_ALWAYS', 'T1_DRAG', 'CLIP_FIN_HI']","{'n5': {'ok': True, 'kind': 'below_high_pct', 'dist_pct': 3.8758, 'low': 99.8, 'high': 104.5, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'below_high_pct', 'dist_pct': 6.5584, 'low': 98.1, 'high': 107.5, 'n_bars': 38}}"
2026-09-01-0050-BUY,2026-09-01,2026-09-02,0050,0050,BUY,54000,107.55375,107.55375,adj_close_scaled,0.9894,,1.0,False,False,0.8101534576014104,0.109550136957997,0.0802964054405925,"['T1_ALWAYS', 'T1_DRAG', 'CLIP_FIN_HI']","{'n5': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 3.9167, 'low': 103.5, 'high': 110.75, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 7.8233, 'low': 99.75, 'high': 113.75, 'n_bars': 38}}"
2026-09-01-2880-BUY,2026-09-01,2026-09-02,2880,FIN,BUY,73000,41.970975,41.970975,adj_close_scaled,2.87,,1.0,False,False,0.8101534576014104,0.109550136957997,0.0802964054405925,"['T1_ALWAYS', 'T1_DRAG', 'CLIP_FIN_HI', 'KD_OFFSEASON']","{'n5': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 6.9324, 'low': 39.25, 'high': 45.25, 'n_bars': 11}, 'n21': {'ok': True, 'kind': 'above_low_pct', 'dist_pct': 10.4499, 'low': 38.0, 'high': 48.3, 'n_bars': 38}}"
