date,nav_core,nav_alpha,nav_combined,exposure_e45,core_w,alpha_w,cash_w,ret_combined
2025-04-25,4291217.888941415,741978.8388999776,5033196.727841392,0.5328044817839528,0.8,0.1065608963567905,0.0934391036432094,0.0025164970120125
2025-04-28,4302347.696257486,746924.8965886341,5049272.59284612,0.535011160030318,0.8,0.1070022320060636,0.0929977679939363,0.0034081067102206
2025-04-29,4346231.21698716,749755.2904926781,5095986.507479838,0.535011160030318,0.8,0.1070022320060636,0.0929977679939363,0.0089177999464223
2025-04-30,4372851.199807115,756504.7090241201,5129355.908831235,0.535011160030318,0.8,0.1070022320060636,0.0929977679939363,0.0067003065967993
2025-05-02,4350847.366943155,760618.3910916013,5111465.758034756,0.535011160030318,0.8,0.1070022320060636,0.0929977679939363,-0.0029379855422657
2025-05-05,4392080.00346636,770487.4604780743,5162567.463944434,0.535011160030318,0.8,0.1070022320060636,0.0929977679939363,0.0101765487857163
2025-05-06,4476384.473686503,749527.0703220809,5225911.544008584,0.5582606020288021,0.8,0.1116521204057604,0.0883478795942395,0.0099149129966943
2025-05-07,4463762.674780657,762997.4816595124,5226760.156440169,0.5582606020288021,0.8,0.1116521204057604,0.0883478795942395,0.0013386631002488
2025-05-08,4456843.159869282,762599.9509712852,5219443.110840566,0.5582606020288021,0.8,0.1116521204057604,0.0883478795942395,-0.0013443247250983
2025-05-09,4487563.569948592,771131.8853282472,5258695.455276839,0.5582606020288021,0.8,0.1116521204057604,0.0883478795942395,0.0077518816482718
2025-05-12,4502696.553058179,786925.8016168878,5289622.354675067,0.5582606020288021,0.8,0.1116521204057604,0.0883478795942395,0.0067940582306331
2025-05-13,4473869.268881362,808836.3469042315,5282705.615785593,0.580347571927362,0.8,0.1160695143854724,0.0839304856145275,0.0004468618804225
2025-05-14,4480050.945550228,808763.6938194891,5288814.639369717,0.580347571927362,0.8,0.1160695143854724,0.0839304856145275,0.001087418672612
2025-05-15,4486817.070484137,819964.8846755407,5306781.955159678,0.580347571927362,0.8,0.1160695143854724,0.0839304856145275,0.0039781767845577
2025-05-16,4505729.318483147,817845.5606110625,5323574.8790942095,0.580347571927362,0.8,0.1160695143854724,0.0839304856145275,0.0028551255493871
2025-05-19,4505862.060371465,819448.4461017236,5325310.506473188,0.580347571927362,0.8,0.1160695143854724,0.0839304856145275,0.0004155460996553
2025-05-20,4500752.533165736,812834.5802480222,5313587.113413759,0.6013301933309939,0.8,0.1202660386661987,0.0797339613338011,-0.0025214024117214
2025-05-21,4521787.512385814,813245.0394946988,5335032.551880513,0.6013301933309939,0.8,0.1202660386661987,0.0797339613338011,0.0038399211357869
2025-05-22,4456909.382538023,815745.9548166759,5272655.337354698,0.6013301933309939,0.8,0.1202660386661987,0.0797339613338011,-0.0108632695956873
2025-05-23,4472373.932936582,827791.9202782882,5300165.85321487,0.6013301933309939,0.8,0.1202660386661987,0.0797339613338011,0.005729195922087
2025-05-26,4468039.835103242,827661.2758223492,5295701.110925591,0.6013301933309939,0.8,0.1202660386661987,0.0797339613338011,-0.0008068302996983
2025-05-27,4421668.545848554,827977.1502528223,5249645.696101377,0.6212636836644442,0.8,0.1242527367328888,0.0757472632671111,-0.0082264236609173
2025-05-28,4417030.551646831,833159.6962121347,5250190.247858966,0.6212636836644442,0.8,0.1242527367328888,0.0757472632671111,0.0004127180522736
2025-05-29,4332413.484559286,829583.2593499023,5161996.743909189,0.6212636836644442,0.8,0.1242527367328888,0.0757472632671111,-0.0161841260528899
2025-06-02,4316372.624551415,818355.8322316346,5134728.45678305,0.6212636836644442,0.8,0.1242527367328888,0.0757472632671111,-0.0056687814788286
2025-06-03,4317018.684434333,812376.8128835912,5129395.497317924,0.6212636836644442,0.8,0.1242527367328888,0.0757472632671111,-0.0013414860211937
2025-06-04,4358501.333070693,819016.0518427215,5177517.384913414,0.6402004994812219,0.8,0.1280400998962444,0.0719599001037555,0.0093217991315686
2025-06-05,4341194.640171945,826904.4949750463,5168099.135146991,0.6402004994812219,0.8,0.1280400998962444,0.0719599001037555,-0.0012503099034356
2025-06-06,4355043.644165561,827710.115036943,5182753.759202504,0.6402004994812219,0.8,0.1280400998962444,0.0719599001037555,0.0027469613169657
2025-06-09,4369279.297218535,831130.2269099528,5200409.524128488,0.6402004994812219,0.8,0.1280400998962444,0.0719599001037555,0.0034414224351508
2025-06-10,4402616.801782358,835939.19436482,5238555.996147178,0.6402004994812219,0.8,0.1280400998962444,0.0719599001037555,0.0072611938773353
2025-06-18,4261572.838867452,835778.0212092536,5097350.860076706,0.6581904745071608,0.8,0.1316380949014321,0.0683619050985678,-0.0256676755257214
2025-06-19,4238533.76980531,838392.1773989719,5076925.9472042825,0.6581904745071608,0.8,0.1316380949014321,0.0683619050985678,-0.0036994265858935
2025-06-20,4218000.089772167,835377.3818653581,5053377.471637525,0.6581904745071608,0.8,0.1316380949014321,0.0683619050985678,-0.0045948045098003
2025-06-23,4196085.53852517,828572.0837884193,5024657.622313589,0.6581904745071608,0.8,0.1316380949014321,0.0683619050985678,-0.0057856622187503
2025-06-24,4233710.48836209,837830.1521460767,5071540.640508167,0.6581904745071608,0.8,0.1316380949014321,0.0683619050985678,0.0094080471603923
2025-06-25,4303794.56331383,845828.2075888467,5149622.7709026765,0.6752809507818028,0.8,0.1350561901563605,0.0649438098436393,0.0151522855383344
2025-06-26,4319051.247255884,848873.7426094583,5167924.989865342,0.6752809507818028,0.8,0.1350561901563605,0.0649438098436393,0.0035560810948054
2025-06-27,4348299.219836118,845269.6461128644,5193568.865948983,0.6752809507818028,0.8,0.1350561901563605,0.0649438098436393,0.0045683331653027
2025-06-30,4312278.953074565,844338.1183727097,5156617.071447275,0.6752809507818028,0.8,0.1350561901563605,0.0649438098436393,-0.0068474175334649
2025-07-01,4360680.097125278,844454.6836357444,5205134.780761022,0.6752809507818028,0.8,0.1350561901563605,0.0649438098436393,0.0090068342435675
2025-07-02,4376309.7024072185,843906.4496454598,5220216.152052678,0.6910473132815125,0.8,0.1382094626563025,0.0617905373436974,0.0027375268964821
2025-07-03,4392255.712677308,850373.4978076395,5242629.210484948,0.6910473132815125,0.8,0.1382094626563025,0.0617905373436974,0.0044476149999626
2025-07-04,4392394.824707241,852388.3499773921,5244783.174684633,0.6910473132815125,0.8,0.1382094626563025,0.0617905373436974,0.0004992123309466
2025-07-07,4447033.221719384,848126.2452244268,5295159.466943811,0.6910473132815125,0.8,0.1382094626563025,0.0617905373436974,0.0089514163370355
2025-07-08,4441621.95305318,846361.1241958716,5287983.077249052,0.6910473132815125,0.8,0.1382094626563025,0.0617905373436974,-0.0013897015051338
2025-07-09,4400781.671160538,845170.752502323,5245952.423662861,0.6648841898888775,0.8,0.1329768379777755,0.0670231620222244,-0.0076372138722752
2025-07-10,4448112.041797451,849489.9580691576,5297601.9998666085,0.6648841898888775,0.8,0.1329768379777755,0.0670231620222244,0.0096260840504025
2025-07-11,4455006.965780479,854391.9697710564,5309398.935551535,0.6648841898888775,0.8,0.1329768379777755,0.0670231620222244,0.002394170044541
2025-07-14,4491098.540502829,855495.6863697361,5346594.226872564,0.6648841898888775,0.8,0.1329768379777755,0.0670231620222244,0.0067394437808004
2025-07-15,4465590.866052276,854644.1825943042,5320235.04864658,0.6648841898888775,0.8,0.1329768379777755,0.0670231620222244,-0.0047427523147913
2025-07-16,4486263.734252374,859212.738911564,5345476.473163938,0.6816399803944336,0.8,0.1363279960788867,0.0636720039211132,0.0047726083170626
2025-07-17,4533224.177342221,859602.6772676456,5392826.854609867,0.6816399803944336,0.8,0.1363279960788867,0.0636720039211132,0.0084648515681834
2025-07-18,4527657.500577108,864118.8167769648,5391776.317354073,0.6816399803944336,0.8,0.1363279960788867,0.0636720039211132,6.837207473453077e-05
