date,nav_core
2020-08-14,2738201.95164422
2020-08-17,2740490.9987802044
2020-08-18,2746073.6476938804
2020-08-19,2734270.5136034233
2020-08-20,2681747.4222477437
2020-08-21,2707054.59658684
2020-08-24,2690973.196258729
2020-08-25,2695458.888157432
2020-08-26,2701855.945424815
2020-08-27,2691508.319472888
2020-08-28,2691786.6830993425
2020-08-31,2649626.537340748
2020-09-01,2650708.359616288
2020-09-02,2641122.9711200865
2020-09-03,2642637.771959319
2020-09-04,2617179.2697890596
2020-09-07,2637652.358468417
2020-09-08,2648572.144797264
2020-09-09,2635201.413831208
2020-09-10,2642887.4500250104
2020-09-11,2644874.2094139466
2020-09-14,2649077.9484148812
2020-09-15,2654597.843522838
2020-09-16,2662292.645958036
2020-09-17,2641437.757677698
2020-09-18,2651179.888839631
2020-09-21,2625472.588064791
2020-09-22,2599783.3020578674
2020-09-23,2582175.3841989506
2020-09-24,2524789.326815439
2020-09-25,2556966.5392859946
2020-09-28,2594569.2891982226
2020-09-29,2589720.905203003
2020-09-30,2585018.568491618
2020-10-05,2593557.653593275
2020-10-06,2614785.1213177866
2020-10-07,2606363.6854169974
2020-10-08,2613451.4043582594
2020-10-12,2621191.6267043785
2020-10-13,2599283.4560800344
2020-10-14,2594422.277344137
2020-10-15,2579796.413524269
2020-10-16,2568860.8252651393
2020-10-19,2576239.6742038205
2020-10-20,2571221.696062764
2020-10-21,2562396.020117809
2020-10-22,2578815.587427916
2020-10-23,2574017.1057583108
2020-10-26,2584773.142102252
2020-10-27,2577064.8073138315
2020-10-28,2573542.82089212
2020-10-29,2548530.833419438
2020-10-30,2541916.4347741166
2020-11-02,2576516.5909748985
2020-11-03,2592282.3782430524
2020-11-04,2593131.029845352
2020-11-05,2612878.0240836693
2020-11-06,2621010.7130429535
2020-11-09,2652175.0011676354
2020-11-10,2671110.9053040026
2020-11-11,2728773.9078283063
2020-11-12,2692870.100107511
2020-11-13,2697787.2135418938
2020-11-16,2726596.969418836
2020-11-17,2729559.590204306
2020-11-18,2744808.7649940928
2020-11-19,2738713.4753619046
2020-11-20,2723982.501754428
2020-11-23,2733141.4650906986
2020-11-24,2708575.6764680855
2020-11-25,2704036.15354107
2020-11-26,2716773.1902221567
2020-11-27,2703252.780648969
2020-11-30,2674943.0125984265
2020-12-01,2694494.45440328
2020-12-02,2694608.1034745784
2020-12-03,2689579.685279045
2020-12-04,2706805.1510335756
2020-12-07,2698281.7827530624
2020-12-08,2672376.603228271
2020-12-09,2663547.4945480125
2020-12-10,2660461.8626858704
2020-12-11,2676848.095582903
2020-12-14,2674950.388723873
2020-12-15,2658173.788572456
2020-12-16,2689987.897083066
2020-12-17,2686134.9779562387
2020-12-18,2672727.8486480764
2020-12-21,2704099.4747410533
2020-12-22,2682902.0505428785
2020-12-23,2674055.0973129827
2020-12-24,2679304.827641615
2020-12-25,2690593.533721626
2020-12-28,2703744.257561392
2020-12-29,2702958.728571084
2020-12-30,2750797.3277650164
2020-12-31,2740846.6224712343
2021-01-04,2740618.217909821
2021-01-05,2745393.181087138
2021-01-06,2723539.0547665446
2021-01-07,2746858.3678312018
2021-01-08,2777548.354823809
2021-01-11,2783265.6747663054
2021-01-12,2754941.040986018
2021-01-13,2774181.5985667533
2021-01-14,2770133.72277044
2021-01-15,2742897.833475726
2021-01-18,2734722.9303831197
2021-01-19,2743839.4242586484
2021-01-20,2707083.754133967
2021-01-21,2719963.405363586
2021-01-22,2697572.449595056
2021-01-25,2703958.0748726926
2021-01-26,2687714.8253304632
2021-01-27,2684609.987172448
2021-01-28,2665429.422628973
2021-01-29,2636103.366340509
2021-02-01,2660365.5990312975
2021-02-02,2675852.5403878707
2021-02-03,2690475.737454693
2021-02-04,2687054.406775608
2021-02-05,2695647.309223309
2021-02-17,2754680.313570393
2021-02-18,2759043.603838671
2021-02-19,2753450.6567190834
2021-02-22,2751323.609098103
2021-02-23,2783784.7172891977
2021-02-24,2776527.631159805
2021-02-25,2797907.4442444947
2021-02-26,2761192.6947268504
2021-03-02,2760623.675695112
2021-03-03,2784172.252526874
2021-03-04,2770339.150117185
2021-03-05,2763417.1100051943
2021-03-08,2764030.065874902
2021-03-09,2808823.4600480804
2021-03-10,2810155.0209094007
2021-03-11,2817890.789210539
2021-03-12,2821066.608391118
2021-03-15,2829016.8233547476
2021-03-16,2856177.135733351
2021-03-17,2843484.752980927
2021-03-18,2839963.277214054
2021-03-19,2820717.6041786587
2021-03-22,2820177.5583171435
2021-03-23,2823928.6301733865
2021-03-24,2827081.8954319274
2021-03-25,2842633.349516442
2021-03-26,2845873.7949038143
2021-03-29,2862352.62654491
2021-03-30,2874908.8914131382
2021-03-31,2879984.999096653
2021-04-01,2880433.5242632087
2021-04-06,2890393.2511258055
2021-04-07,2895089.4026546376
2021-04-08,2878888.7076822906
2021-04-09,2866104.7208457324
2021-04-12,2869882.061816306
2021-04-13,2893432.5835106745
2021-04-14,2914361.9706580197
2021-04-15,2935864.8231890937
2021-04-16,2944960.8341316525
2021-04-19,2978380.640042762
2021-04-20,2993331.564037102
2021-04-21,2966939.2481660144
2021-04-22,2972330.123092057
2021-04-23,2966156.672665336
2021-04-26,3009059.5140051073
2021-04-27,2961626.516601577
2021-04-28,2947674.0362955215
2021-04-29,2940040.370592387
2021-05-03,2902436.8830676144
2021-05-04,2877630.263949183
2021-05-05,2877881.421020626
2021-05-06,2915035.7876148643
2021-05-07,2926008.0092740497
2021-05-10,2954747.0961952745
2021-05-11,2898898.02476676
2021-05-12,2794113.7909599505
2021-05-13,2781267.59548576
2021-05-14,2814155.8581139096
2021-05-17,2754285.568133298
2021-05-18,2821863.190878607
2021-05-19,2808899.246013491
2021-05-20,2806587.3413409432
2021-05-21,2837150.8845215742
2021-05-24,2825946.2946413644
2021-05-25,2836219.6203142772
2021-05-26,2843363.9652031963
2021-05-27,2854122.8101487495
2021-05-28,2856773.023651859
2021-05-31,2867840.247380491
2021-06-01,2869883.0936925313
2021-06-02,2884804.3997062338
2021-06-03,2880652.8326079748
2021-06-04,2872686.390168363
2021-06-07,2866395.3778844317
2021-06-08,2877216.9202599092
2021-06-09,2863525.0725095235
2021-06-10,2878747.2109625777
2021-06-11,2869889.992195841
2021-06-15,2870021.8253358887
2021-06-16,2880671.7733426485
2021-06-17,2868224.1644761856
2021-06-18,2847687.9686096315
2021-06-21,2835766.7168186787
2021-06-22,2845157.0351665406
2021-06-23,2861048.670482692
2021-06-24,2859981.742306611
2021-06-25,2881366.208024274
2021-06-28,2885648.1055852245
2021-06-29,2869449.774498948
2021-06-30,2882512.939429546
2021-07-01,2867134.115050186
2021-07-02,2861393.758900527
2021-07-05,2878053.5893121874
2021-07-06,2896141.465979947
2021-07-07,2893734.397315889
2021-07-08,2893573.1154960366
2021-07-09,2899896.3841439392
2021-07-12,2909661.6799376854
2021-07-13,2934164.9230757174
2021-07-14,2930320.069039367
2021-07-15,2933595.089344433
2021-07-16,2943923.997149651
2021-07-19,2952538.5173188513
2021-07-20,2929601.2069764817
2021-07-21,2940739.487846984
2021-07-22,2973706.392286833
2021-07-23,2973710.630158779
2021-07-26,2960687.740246938
2021-07-27,2967120.831786726
2021-07-28,2960167.0178920263
2021-07-29,2974313.206600184
2021-07-30,2958075.57426118
2021-08-02,2977468.4577386533
2021-08-03,2981452.671898423
2021-08-04,2988528.7089924193
2021-08-05,3003115.933262835
2021-08-06,3003078.8540476104
2021-08-09,3007160.51817241
2021-08-10,2994544.932233766
2021-08-11,3007989.82163027
2021-08-12,2987616.004251533
2021-08-13,2986122.565806382
2021-08-16,2976482.111696753
2021-08-17,3000214.227925665
2021-08-18,3000475.2860270343
2021-08-19,2970317.089309386
2021-08-20,2981528.090744792
2021-08-23,2963657.127077568
2021-08-24,2999118.8361810013
2021-08-25,3009333.5727221016
2021-08-26,3014232.341328061
2021-08-27,3076170.801488407
2021-08-30,3114602.0321368105
2021-08-31,3144582.2940129256
2021-09-01,3108675.428819635
2021-09-02,3099921.67009778
2021-09-03,3141116.84287775
2021-09-06,3139892.093986833
2021-09-07,3132811.2022469793
2021-09-08,3132211.2395510697
2021-09-09,3116090.4620609614
2021-09-10,3136025.6609770106
2021-09-13,3141351.8760525784
2021-09-14,3156194.6546999915
2021-09-15,3146552.555146994
2021-09-16,3121660.534680752
2021-09-17,3110620.9997922573
2021-09-22,3073069.5617554956
2021-09-23,3109955.834559477
2021-09-24,3122250.3320835046
2021-09-27,3120689.2886116677
2021-09-28,3111646.4141420354
2021-09-29,3089760.37189403
2021-09-30,3094166.151565193
2021-10-01,3077132.2603751537
2021-10-04,3074147.993498471
2021-10-05,3062048.907028602
2021-10-06,3076768.480645685
2021-10-07,3091254.7285324126
2021-10-08,3073735.32417885
2021-10-12,3073729.70928719
2021-10-13,3074158.146904757
2021-10-14,3060952.63809879
2021-10-15,3080944.944510244
2021-10-18,3098980.4452095684
2021-10-19,3090725.8420700044
2021-10-20,3101680.01201383
2021-10-21,3101317.4341832856
2021-10-22,3101321.755134612
2021-10-25,3105820.8237010804
2021-10-26,3128277.454702837
2021-10-27,3111519.693472673
2021-10-28,3116566.3334621405
2021-10-29,3112360.1546658664
2021-11-01,3110715.846085627
2021-11-02,3119069.3648928846
2021-11-03,3117414.644627881
2021-11-04,3109639.7517572427
2021-11-05,3122443.116827919
2021-11-08,3125682.7678633207
2021-11-09,3133818.302581598
2021-11-10,3156159.5853274325
2021-11-11,3140927.09192904
2021-11-12,3167531.8402129775
2021-11-15,3184871.6359119257
2021-11-16,3198030.7571868156
2021-11-17,3213368.3603728157
2021-11-18,3237893.410087195
2021-11-19,3210764.1909143184
2021-11-22,3191379.947243769
2021-11-23,3175716.4895313256
2021-11-24,3186382.1967082643
2021-11-25,3195054.562722791
2021-11-26,3147447.233431312
2021-11-29,3137235.0572656663
2021-11-30,3121267.95607117
2021-12-01,3161216.285505579
2021-12-02,3162244.801089914
2021-12-03,3163559.6238204134
2021-12-06,3185296.4130069856
2021-12-07,3208895.8157172925
2021-12-08,3221447.484691973
2021-12-09,3233646.5181308985
2021-12-10,3242649.5047836946
2021-12-13,3242111.9270872325
2021-12-14,3228990.5942703974
2021-12-15,3209890.174166867
2021-12-16,3223300.5376223396
2021-12-17,3250670.89935788
2021-12-20,3233301.145241736
2021-12-21,3237824.043516785
2021-12-22,3230479.521931141
2021-12-23,3236561.619646665
2021-12-24,3237053.5504745003
2021-12-27,3241611.4286059923
2021-12-28,3261475.7730101557
2021-12-29,3272204.3329390017
2021-12-30,3265550.018107131
2022-01-03,3246646.710771293
2022-01-04,3261572.357351123
2022-01-05,3269680.222645851
2022-01-06,3287642.3897055546
2022-01-07,3317005.8988492507
2022-01-10,3354850.841003533
2022-01-11,3396575.341445389
2022-01-12,3413294.6631457447
2022-01-13,3460020.43196755
2022-01-14,3440612.200475206
2022-01-17,3428887.423532758
2022-01-18,3439940.9446898876
2022-01-19,3415555.5307041476
2022-01-20,3406029.803714921
2022-01-21,3365324.286633746
2022-01-24,3360488.3569426453
2022-01-25,3341890.9034854057
2022-01-26,3356894.62721716
2022-02-07,3423483.3967705686
2022-02-08,3503846.283507013
2022-02-09,3524088.6696781837
2022-02-10,3534328.065174044
2022-02-11,3536785.1092996025
2022-02-14,3492301.0584797543
2022-02-15,3477363.7405035747
2022-02-16,3493403.398545696
2022-02-17,3508984.3571319953
2022-02-18,3486907.9467506823
2022-02-21,3486208.797804857
2022-02-22,3455720.8500543255
2022-02-23,3471823.7547924058
2022-02-24,3421134.907247206
2022-02-25,3403266.029897182
2022-03-01,3462815.7318317727
2022-03-02,3486401.857516276
2022-03-03,3475909.659505603
2022-03-04,3468671.6094538043
2022-03-07,3398539.068274692
2022-03-08,3378195.009122868
2022-03-09,3377143.895837152
2022-03-10,3447999.874199924
2022-03-11,3433504.489323573
2022-03-14,3454869.8489708253
2022-03-15,3465750.975354941
2022-03-16,3523030.2013062085
2022-03-17,3548031.121084985
2022-03-18,3569267.093433824
2022-03-21,3569735.6759876506
2022-03-22,3586089.7906107637
2022-03-23,3645128.2625668235
2022-03-24,3647267.190280977
2022-03-25,3636206.4160074764
2022-03-28,3635442.7585602175
2022-03-29,3609278.424789276
2022-03-30,3655099.4199475013
2022-03-31,3710876.651316303
2022-04-01,3720479.9775264664
2022-04-06,3817892.889143657
