股票代號,股票名稱,融資買進,融資賣出,融資現金償還,融資前日餘額,融資今日餘額,融資限額,融券買進,融券賣出,融券現券償還,融券前日餘額,融券今日餘額,融券限額,資券互抵,註記
2337,旺宏,2331,2175,2682,89601,87075,495790,232,1086,,2121,2975,495790,29, 
2338,光罩,26,33,15,5094,5072,75869,2,32,,57,87,75869,, 
2340,台亞,313,227,,7730,7816,94655,5,3,,61,59,94655,1, 
2342,茂矽,69,105,2,3670,3632,39333,1,7,,35,41,39333,1, 
2344,華邦電,7348,7976,53,125408,124727,1125000,921,4800,,4694,8573,1125000,113, 
2345,智邦,110,126,1,2343,2326,140279,3,6,,19,22,140279,3, 
2347,聯強,28,7,,847,868,416986,2,,,12,10,416986,, 
2348,海悅,4,18,49,2192,2129,37974,,,,11,11,37974,, 
2349,錸德,,,,,,,,,,,,,,OX 
2351,順德,512,455,1,13916,13972,48433,32,7,3,370,342,48433,4, 
2352,佳世達,251,188,,15472,15535,395126,3,1,,15,13,395126,1, 
2353,宏碁,981,855,8,37286,37404,761963,12,1,,2229,2218,761963,5, 
2354,鴻準,969,4271,3,29220,25915,353621,33,4,,145,116,353621,3, 
2355,敬鵬,58,156,19,8599,8482,99373,2,1,,39,38,99373,, 
2356,英業達,1094,796,2,27746,28042,896868,30,19,,438,427,896868,7, 
2357,華碩,198,127,,1645,1716,185690,5,3,,42,40,185690,, 
2359,所羅門,670,578,9,7708,7791,42867,16,14,,320,318,42867,3, 
2360,致茂,104,95,,1331,1340,106311,2,,,15,13,106311,, 
2362,藍天,65,45,,2778,2798,155565,,8,,8,16,155565,6, 
2363,矽統,173,116,18,17814,17853,128747,1,14,,17,30,128747,2, 
2364,倫飛,21,39,,951,933,13097,,,,11,11,13097,, 
2365,昆盈,324,138,8,8580,8758,55382,,1,,37,38,55382,1, 
2367,燿華,188,245,,23874,23817,176563,27,21,,403,397,176563,7, 
2368,金像電,307,880,2,8591,8016,131816,16,7,,100,91,131816,15, 
2369,菱生,253,132,2,13290,13409,95025,7,21,,99,113,95025,1, 
2371,大同,261,283,142,43936,43772,537708,28,13,,978,963,537708,, 
2373,震旦行,,,,45,45,59050,,,,,,59050,, 
2374,佳能,295,141,1,15848,16001,84498,13,5,,36,28,84498,6, 
2375,凱美,124,218,,6520,6426,27168,300,30,,419,149,27168,13, 
2376,技嘉,287,644,,6728,6371,167472,12,9,,194,191,167472,19, 
2377,微星,843,1209,3,14144,13775,211214,9,6,,49,46,211214,7, 
2379,瑞昱,93,49,1,2591,2634,128878,,,,,,128878,,X 
2380,虹光,,,,,,,,,,,,,,OX 
2382,廣達,157,457,9,14903,14594,1026906,2,2,,60,60,1026906,2, 
2383,台光電,99,82,2,2040,2055,89580,,,,,,89580,1, 
2385,群光,194,163,,2801,2832,191430,,,,4,4,191430,2, 
2387,精元,2,3,1,1220,1218,48812,,,,,,48812,, 
2388,威盛,308,365,3,10162,10102,139109,60,9,,156,105,139109,7, 
2390,云辰,82,5,,1985,2062,48154,,,,,,48154,, 
2392,正崴,152,414,2,4213,3949,128081,1,1,,39,39,128081,13, 
2393,億光,27,37,,2142,2132,110848,,,,25,25,110848,1, 
2395,研華,83,156,,1795,1722,217285,11,,,49,38,217285,, 
2397,友通,7,17,,1569,1559,28672,,,,,,28672,2, 
2399,映泰,349,170,9,10915,11085,44525,18,,,280,262,44525,5, 
2401,凌陽,171,85,,7996,8082,147998,3,,,83,80,147998,1, 
2402,毅嘉,298,185,1,12101,12213,76884,27,25,,107,105,76884,, 
2404,漢唐,22,44,,2433,2411,47646,2,,,4,2,47646,, 
2405,輔信,59,30,,7306,7335,85856,5,1,,33,29,85856,, 
2406,國碩,169,224,,12530,12475,87726,1,20,,161,180,87726,, 
2408,南亞科,7193,7123,,69630,69700,774656,467,1609,,4262,5404,774656,79, 
2409,友達,31637,25245,,231550,237942,1886774,2092,714,2,20946,19566,1886774,531, 
2412,中華電,27,131,,1608,1504,1939361,2,,,28,26,1939361,, 
2413,環科,55,44,,4191,4202,31839,,1,,1,2,31839,, 
2414,精技,1,9,,276,268,40433,,,,,,40433,, 
2415,錩新,49,45,,2458,2462,22500,,,,,,22500,, 
2417,圓剛,24,104,1,3109,3028,39304,1,,,6,5,39304,, 
2419,仲琦,785,821,,6058,6022,80329,4,46,,10,52,80329,55, 
2420,新巨,2,,,458,460,38162,,,,,,38162,, 
2421,建準,308,285,10,3283,3296,71735,8,17,,52,61,71735,4, 
2423,固緯,3,10,,436,429,36261,,,,1,1,36261,, 
2424,隴華,,,,,,,,,,,,,,OX 
2425,承啟,90,197,5,5796,5684,24124,,18,,3,21,24124,, 
2426,鼎元,4035,6072,205,30436,28194,75155,559,456,,1798,1695,75155,102, 
2427,三商電,37,45,5,5334,5321,49499,2,,5,8,1,49499,, 
2428,興勤,96,65,101,2730,2660,32028,,1,,5,6,32028,1, 
