date,futures_id,contract_date,open,max,min,close,spread,spread_per,volume,settlement_price,open_interest,trading_session
2024-06-19,TX,202407,22674.0,22916.0,22662.0,22874.0,202.0,0.89,17016,0.0,0,after_market
2024-06-19,TX,202408,22615.0,22861.0,22609.0,22822.0,208.0,0.92,189,0.0,0,after_market
2024-06-19,TX,202409,22580.0,22844.0,22580.0,22793.0,207.0,0.92,41,0.0,0,after_market
2024-06-19,TX,202412,22577.0,22830.0,22577.0,22788.0,205.0,0.91,36,0.0,0,after_market
2024-06-19,TX,202503,22649.0,22824.0,22649.0,22795.0,191.0,0.84,16,0.0,0,after_market
2024-06-19,TX,202406/202407,-117.0,-77.0,-117.0,-90.0,0.0,0.0,241,0.0,0,after_market
2024-06-19,TX,202406/202408,-164.0,-164.0,-164.0,-164.0,0.0,0.0,1,0.0,0,after_market
2024-06-19,TX,202406/202409,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-06-19,TX,202406/202412,-153.0,-153.0,-153.0,-153.0,0.0,0.0,1,0.0,0,after_market
2024-06-19,TX,202406/202503,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-06-19,TX,202407/202408,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-06-19,TX,202408/202409,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-06-19,TX,202408/202412,-26.0,-26.0,-26.0,-26.0,0.0,0.0,1,0.0,0,after_market
2024-06-19,TX,202408/202503,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-06-19,TX,202409/202412,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-06-19,TX,202409/202503,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-06-19,TX,202412/202503,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-06-19,TX,202406,22956.0,23291.0,22940.0,23225.0,439.0,1.93,79725,0.0,15948,position
2024-06-19,TX,202407,22883.0,23172.0,22848.0,23129.0,457.0,2.02,71704,23135.0,72708,position
2024-06-19,TX,202408,22819.0,23120.0,22819.0,23087.0,473.0,2.09,360,23087.0,558,position
2024-06-19,TX,202409,22817.0,23093.0,22817.0,23060.0,474.0,2.1,184,23060.0,1984,position
2024-06-19,TX,202412,22819.0,23086.0,22819.0,23065.0,482.0,2.13,48,23065.0,375,position
2024-06-19,TX,202503,22838.0,23096.0,22838.0,23096.0,492.0,2.18,55,23076.0,330,position
2024-06-19,TX,202406/202407,-84.0,-80.0,-144.0,-89.0,0.0,0.0,2647,0.0,0,position
2024-06-19,TX,202406/202409,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2024-06-19,TX,202406/202412,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2024-06-19,TX,202407/202408,-42.0,-40.0,-42.0,-40.0,0.0,0.0,4,0.0,0,position
2024-06-19,TX,202407/202409,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2024-06-19,TX,202407/202412,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2024-06-19,TX,202407/202503,-82.0,-74.0,-83.0,-74.0,0.0,0.0,4,0.0,0,position
2024-06-19,TX,202408/202409,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
