code,fiscal_year,announcement_date,announcement_time,cash_ex_date,cash_payment_date,cash_dividend,source,board_date_quality
4904,110年,2022-06-14,16:02:09,2022-07-14,2022-08-17,2.349,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
4904,111年,2023-05-31,18:27:44,2023-07-05,2023-08-07,2.379,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
4904,112年,2024-06-24,09:33:25,2024-07-10,2024-08-07,2.635,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
4904,113年,2025-05-23,11:08:02,2025-07-09,2025-08-06,3.188,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
4904,114年,2026-05-20,17:58:30,2026-07-08,2026-08-05,3.44834991,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
0050,99,,,2010-10-25,2010-11-26,2.2,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
0050,100,,,2011-10-26,2011-11-29,1.95,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
0050,101,,,2012-10-24,2012-11-27,1.85,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
0050,102,,,2013-10-24,2013-11-27,1.35,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
0050,103,,,2014-10-24,2014-11-27,1.55,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
0050,104,,,2015-10-26,2015-11-26,2.0,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
0050,105,,,2016-07-28,2016-08-30,0.85,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
0050,106,,,2017-02-08,2017-03-14,1.7,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
0050,106,,,2017-07-31,2017-08-31,0.7,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
0050,107,,,2018-01-29,2018-03-13,2.2,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
0050,107,,,2018-07-23,2018-08-27,0.7,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
0050,108,,,2019-01-22,2019-03-08,2.3,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
0050,108,,,2019-07-19,2019-08-22,0.7,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
0050,109,,,2020-01-31,2020-03-06,2.9,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
0050,109,,,2020-07-21,2020-08-24,0.7,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
0050,110,,,2021-01-22,2021-03-09,3.05,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
0050,110,,,2021-07-21,2021-08-24,0.35,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
0050,111,,,2022-01-21,2022-03-04,3.2,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
0050,111,,,2022-07-18,2022-08-19,1.8,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
0050,112,,,2023-01-30,2023-03-07,2.6,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
0050,112,,,2023-07-18,2023-08-11,1.9,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
0050,113,,,2024-01-17,2024-02-21,3.0,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
0050,113,,,2024-07-16,2024-08-09,1.0,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
0050,114,,,2025-01-17,2025-02-20,2.7,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
0050,114,,,2025-07-21,2025-08-08,0.36,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
