date,is_session,is_settlement,kind,name,source,notes
2025-11-29,0,0,WEEKEND,,weekend,
2025-11-30,0,0,WEEKEND,,weekend,
2025-12-01,1,1,SESSION,,weekday_default,
2025-12-02,1,1,SESSION,,weekday_default,
2025-12-03,1,1,SESSION,,weekday_default,
2025-12-04,1,1,SESSION,,weekday_default,
2025-12-05,1,1,SESSION,,weekday_default,
2025-12-06,0,0,WEEKEND,,weekend,
2025-12-07,0,0,WEEKEND,,weekend,
2025-12-08,1,1,SESSION,,weekday_default,
2025-12-09,1,1,SESSION,,weekday_default,
2025-12-10,1,1,SESSION,,weekday_default,
2025-12-11,1,1,SESSION,,weekday_default,
2025-12-12,1,1,SESSION,,weekday_default,
2025-12-13,0,0,WEEKEND,,weekend,
2025-12-14,0,0,WEEKEND,,weekend,
2025-12-15,1,1,SESSION,,weekday_default,
2025-12-16,1,1,SESSION,,weekday_default,
2025-12-17,1,1,SESSION,,weekday_default,
2025-12-18,1,1,SESSION,,weekday_default,
2025-12-19,1,1,SESSION,,weekday_default,
2025-12-20,0,0,WEEKEND,,weekend,
2025-12-21,0,0,WEEKEND,,weekend,
2025-12-22,1,1,SESSION,,weekday_default,
2025-12-23,1,1,SESSION,,weekday_default,
2025-12-24,1,1,SESSION,,weekday_default,
2025-12-25,0,0,CLOSED_HOLIDAY,行憲紀念日,pinned_2025_ops,prior-year pin for Y-1 window
2025-12-26,1,1,SESSION,,weekday_default,
2025-12-27,0,0,WEEKEND,,weekend,
2025-12-28,0,0,WEEKEND,,weekend,
2025-12-29,1,1,SESSION,,weekday_default,
2025-12-30,1,1,SESSION,,weekday_default,
2025-12-31,1,1,SESSION,,weekday_default,
