date,nav_base,nav_l4,rel_l4_vs_base
2024-01-31,40190783.82702691,39743381.621734925,0.9888680398168517
2024-02-01,40533700.522271134,40103527.97208404,0.989387286513583
2024-02-02,40630291.24515751,40212230.02597948,0.989710602450386
2024-02-05,40500500.58993768,40089345.78258862,0.9898481549274676
2024-02-15,40776350.416677184,40339109.67900084,0.9892770997598275
2024-02-16,40789956.53147016,40347051.84490782,0.9891418200894471
2024-02-19,41028826.658007905,40557534.27525627,0.988513140122674
2024-02-20,41064851.31006642,40558068.67781317,0.9876589682883129
2024-02-21,40959085.060659036,40468954.41674216,0.9880336525293226
2024-02-22,40941520.56810708,40404840.53801008,0.9868915462188508
2024-02-23,40978848.28256957,40476794.59380975,0.9877484675680022
2024-02-26,40811044.21101642,40294674.494442604,0.9873473044721942
2024-02-27,41000308.04207953,40526744.05819071,0.9884497457091593
2024-02-29,41223975.07345389,40720628.342850156,0.9877899516068779
2024-03-01,41039306.90186103,40529522.36895405,0.9875781398032367
2024-03-04,41173557.23799116,40616160.30326439,0.9864622594665573
2024-03-05,41198043.619901694,40601124.229150966,0.9855109772624646
2024-03-06,41419259.89413804,40799228.460747615,0.9850303594275914
2024-03-07,41566663.252446,40964686.22409769,0.9855177928357555
2024-03-08,41903695.84114483,41255888.26031299,0.9845405621669351
2024-03-11,41864183.44403885,41231102.19799379,0.9848777357167059
2024-03-12,42009201.39271329,41366592.12725085,0.9847031306438044
2024-03-13,42212042.57848605,41529566.235041745,0.9838321885946325
2024-03-14,42996824.813492216,42380844.18535428,0.9856738112451353
2024-03-15,43126940.930311345,42554767.63372038,0.9867328105298372
2024-03-18,43098110.78808624,42549509.517505735,0.9872708742785041
2024-03-19,42846782.703232884,42322617.362876095,0.9877665181073855
2024-03-20,42550189.22392469,41984639.3645589,0.9867086405564608
2024-03-21,43289719.68618062,42751281.49425543,0.9875619847892645
2024-03-22,43158966.81787638,42668177.58604899,0.9886283368668568
2024-03-25,43121576.14725936,42635289.74016174,0.9887228981279125
2024-03-26,43427730.5175361,42908591.81764563,0.9880459168898813
2024-03-27,43439249.998495184,42914079.7224816,0.9879102361106195
2024-03-28,43198961.73462532,42678367.65679193,0.9879489215265997
2024-03-29,43578744.83682754,43065369.592789926,0.9882195954481973
2024-04-01,43656160.474917,43137515.66690335,0.9881197796056379
2024-04-02,43679108.454917006,43197855.66690335,0.9889820830818838
2024-04-03,43103399.67199714,42621233.166662104,0.9888137244624748
2024-04-08,43510422.62262325,43044959.35193689,0.9893022581112706
2024-04-09,43801386.530338585,43304481.37635797,0.9886554925918513
2024-04-10,43779347.26840365,43263900.48995577,0.9882262571141647
2024-04-11,43762900.06766306,43297784.66455196,0.9893719245664256
2024-04-12,43467888.86259885,42982382.78161677,0.9888306956310494
2024-04-15,43320040.578642905,42848994.7066707,0.9891263750984474
2024-04-16,42379711.90003416,41891200.59382167,0.9884729913368736
2024-04-17,42440348.58500001,41968218.710036315,0.9888754477589149
2024-04-18,42773222.308161326,42308278.550870284,0.9891300273348279
2024-04-19,41852023.323788926,41366798.6696179,0.9884061840829754
2024-04-22,42669925.39546584,42188912.86500409,0.9887271297991802
2024-04-23,42998305.083424084,42503368.68562009,0.9884893975043032
2024-04-24,42913510.90702666,42481174.848156594,0.9899254092771217
2024-04-25,42339256.56289715,41876708.76309912,0.9890752026051545
2024-04-26,42511089.39252303,42043814.71340679,0.9890081697318623
2024-04-29,43730382.54200843,43299170.100302376,0.9901392940870841
2024-04-30,43926523.889444575,43548011.394555725,0.9913830537594666
2024-05-02,44403144.76563599,44126830.822726235,0.9937771537496237
2024-05-03,44509333.49754262,44225678.84923978,0.9936270749073675
2024-05-06,46078025.87393667,45878875.3752273,0.9956779724189093
2024-05-07,46211763.8170736,46055303.10910302,0.9966142666921366
2024-05-08,46305419.10549749,46133547.3583798,0.9962883016623582
2024-05-09,45771847.541335925,45579807.28257872,0.9958044022893379
2024-05-10,47004604.585484065,46963935.724673,0.9991347898536812
2024-05-13,47071921.58259769,47010393.67077756,0.9986928956849114
2024-05-14,46849499.287628405,46828105.107366964,0.9995433423924108
2024-05-15,46948749.583532386,46877699.46865527,0.9984866452140392
2024-05-16,46970300.37177747,46903477.903224364,0.998577346365167
2024-05-17,46944454.05342981,46865454.26534533,0.9983171646219472
2024-05-20,46851857.583809644,46769697.71386906,0.9982463903422908
2024-05-21,46433599.24261385,46312131.441021346,0.9973840537116703
2024-05-22,46608922.0379881,46494759.39216166,0.997550626771986
2024-05-23,46461897.909974866,46382053.929446,0.998281517025336
2024-05-24,46306963.5514183,46218032.971069604,0.9980795419624103
2024-05-27,46421990.63549902,46376784.842210576,0.9990261987331952
2024-05-28,46414896.81744925,46364184.64262612,0.9989074159741735
2024-05-29,45649305.85786708,45613396.542527564,0.9992133655777523
2024-05-30,45250727.182412,45170680.38672715,0.9982310384679085
2024-05-31,45554056.50574448,45502484.15848346,0.9988678868312306
2024-06-03,45385435.348218,45250478.10532379,0.9970264195581963
2024-06-04,44939190.265804924,44770206.36387449,0.9962397208109239
2024-06-05,45262886.17302257,45134225.96889117,0.9971574900540019
2024-06-06,45737824.777135335,45629251.83077575,0.9976261891139637
2024-06-07,46026855.96126484,45968237.91583323,0.9987264382020586
2024-06-11,45909734.77160692,45850987.97478196,0.9987203847480884
2024-06-12,45981811.972566016,45911685.87961792,0.9984749167129401
2024-06-13,46327673.17763022,46269287.76255312,0.9987397291710887
2024-06-14,46763026.88561285,46744495.69012737,0.9996037212148219
2024-06-17,46897994.85911624,46866975.58991005,0.9993385800544485
2024-06-18,47456734.43961878,47453223.40547278,0.9999260161031419
2024-06-19,47906864.19935633,47971672.89847794,1.0013528061208916
2024-06-20,47999446.300339825,48064112.91027216,1.0013472365811826
2024-06-21,48020466.875013165,48099870.52034213,1.0016535375538025
2024-06-24,48165430.27333787,48240168.5068651,1.0015516986582096
2024-06-25,47886902.706860825,47878415.11744772,0.999822757603158
2024-06-26,47737235.70031543,47755420.8033139,1.000380941684865
2024-06-27,47806617.068989865,47834670.73257096,1.0005868154933575
2024-06-28,47968825.740550674,47992912.71572346,1.0005021381032562
2024-07-01,48296493.88103647,48311770.30811329,1.0003163050948265
2024-07-02,48061606.03039505,48041200.35526779,0.999575426690603
2024-07-03,49017316.07627305,48849494.774677046,0.996576285381785
2024-07-04,49165380.63075228,49118310.802468605,0.9990426225185322
2024-07-05,49188135.84207785,49105550.873211555,0.9983210388551532
2024-07-08,49823144.70956278,49840736.3813814,1.0003530823259184
